label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not an objectionable od dull film ; it merely lacks everything evcep good intentqoins .', {'total_alterations': 6, 'delete': 2, 'replace': 2, 'insert': 2})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not far beneath the surface , this reconfigured tale asks disturbing queszions about those things we expect from military epics .', {'total_alterations': 2, 'delete': 0, 'replace': 2, 'insert': 0})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a dumb mdvi with drb charractes doinaq dumb things and you have tv be reawly dudmbs not to see where this is going .', {'total_alterations': 14, 'delete': 5, 'replace': 3, 'insert': 6})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the speciv effects and many scenes of weightlessness look a good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hzfty audov system ."", {'total_alterations': 10, 'delete': 5, 'replace': 2, 'insert': 3})"
0,teen movies have really hit the skids . ,"('teen movies have really hit the skydvs .', {'total_alterations': 2, 'delete': 0, 'replace': 1, 'insert': 1})"
1,a quiet treasure -- a film to be savored . ,"('a quegt treasure b a film to be savored .', {'total_alterations': 4, 'delete': 2, 'replace': 1, 'insert': 1})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends too much time wallowing in biii 's generic angst ( there are a lot of shots of her gazing out windoys ) ."", {'total_alterations': 4, 'delete': 2, 'replace': 0, 'insert': 2})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the adiencde .', {'total_alterations': 2, 'delete': 1, 'replace': 0, 'insert': 1})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('though only 60 minutes jon , the film is packed with information and impressions .', {'total_alterations': 2, 'delete': 1, 'replace': 1, 'insert': 0})"
1,dense with characters and contains some thrilling moments . ,"('dense with characters vhand contains some thrilling moments .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
0,too much of the humor falls flat . ,"('too mhcth fq the humor falls flat .', {'total_alterations': 4, 'delete': 1, 'replace': 1, 'insert': 2})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a work by an artist so in control f both his medium and his message that he czm improvise like a jazzman ."", {'total_alterations': 4, 'delete': 1, 'replace': 3, 'insert': 0})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's viot original , and , robbed of the element gnf surprise , it does n't hxvt any huge laufs in its story of irresponsible cops whey love to play pranks ."", {'total_alterations': 12, 'delete': 2, 'replace': 6, 'insert': 4})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashbuckling tale of love ,dv betrayal , revenge and above all , faith .', {'total_alterations': 4, 'delete': 1, 'replace': 0, 'insert': 3})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""an interesting story weyith a pertinent ( cinematically unviquxe ) message z told fairly well and scored to perfecio , i found myself struggling wo put my finger on that elusive `` missing ting fl ''"", {'total_alterations': 14, 'delete': 5, 'replace': 2, 'insert': 7})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('the wmad from elysian fields is a cold , dliss-sess work that groans kalon thinking itself some important comment on how life hros us some beguiling curves .', {'total_alterations': 8, 'delete': 3, 'replace': 3, 'insert': 2})"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('perceptive in its vision of nascent industrialized world politics as a new art form , ldt far xoop clunky , didactic and saddled wit scenes that seem simply an ill fit for kis movie .', {'total_alterations': 8, 'delete': 2, 'replace': 5, 'insert': 1})"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('it made pe jantc to wrench my eyes out of my head and toss them j the screen .', {'total_alterations': 6, 'delete': 2, 'replace': 2, 'insert': 2})"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-see qfr the david mametpd enthusiast and for anyone who appreciates intelligent , stylish moviemaking o.t', {'total_alterations': 6, 'delete': 0, 'replace': 2, 'insert': 4})"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('the wightv of the piece , the unerring professionalism of the chilly production , tn the fascination embedded yn the lurid topic mrovv rocommeidation enough .', {'total_alterations': 10, 'delete': 3, 'replace': 5, 'insert': 2})"
