id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('xsot uat objectintable o daul ivm n;z ith merely lodcks enverythin ecet gogd hntentioncs e', {'total_alterations': 28, 'delete': 8, 'replace': 9, 'insert': 11})"
1,1,positive,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('om faap beteat to isjrface f hs econfiured tnlex abkds disturbing uesions raboit ths tying d xpecgt from ailivary cepic y', {'total_alterations': 38, 'delete': 16, 'replace': 14, 'insert': 8})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('e ydum movie wth dumb chasacteps domg db things anm ylouj zave ho fb reualy ojmb et tj see wxhjere bhig isu zing b', {'total_alterations': 42, 'delete': 12, 'replace': 19, 'insert': 11})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('vwe petcial efifects ansmd mn escenfs of weigtlessoness oof v aod loz bepkter than nn the oryigina , wilwe the uoscar-wninning sod acdy jxages hoer j ouwsing score sxake gond usjq s ve zeftp acutdio sysm u', {'total_alterations': 62, 'delete': 22, 'replace': 18, 'insert': 22})"
4,0,negative,negative,teen movies have really hit the skids . ,"('teens movniees hzzve ally it johe skpd .', {'total_alterations': 14, 'delete': 4, 'replace': 5, 'insert': 5})"
5,1,positive,negative,a quiet treasure -- a film to be savored . ,"('ay vquet tgreawsure v- qz qiilm l be avred .', {'total_alterations': 18, 'delete': 5, 'replace': 6, 'insert': 7})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends nrtoo much ame wavlglowing uwn bi 's generic gst ly thr are c la of sjhos g mhey azng nofut widvows io jg"", {'total_alterations': 36, 'delete': 13, 'replace': 10, 'insert': 13})"
7,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('hiit as charm to slre , a uhlik tgany rofbantic comedies , iytq cdkes nogc alicnate etheer enderu p the audience qh', {'total_alterations': 32, 'delete': 9, 'replace': 11, 'insert': 12})"
8,1,positive,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('tvvough otkly 60 mnute lonzg w tmu ilpm is packed wiph information ahd imprewsgsions n', {'total_alterations': 22, 'delete': 5, 'replace': 9, 'insert': 8})"
9,1,positive,negative,dense with characters and contains some thrilling moments . ,"('dehs with characters n containasw soomk thrmilgling momnpts nx', {'total_alterations': 14, 'delete': 4, 'replace': 3, 'insert': 7})"
10,0,negative,negative,too much of the humor falls flat . ,"('tol much fpf bthse humor vfallsp mat .', {'total_alterations': 10, 'delete': 1, 'replace': 4, 'insert': 5})"
11,1,positive,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"('it i mp jorqk b h rtiswt soye h corol z fbodth hidh medim rnd hissx msrsage hatj hj can improwrise like a jazzsrn gn', {'total_alterations': 42, 'delete': 12, 'replace': 15, 'insert': 15})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""qt 's nebt orighal f gnd id robbed tf nhte element of survrpse eo it dpehs rp't have iay hugey lauachs nc iy svtory ffv irrespjnzsible copjf vo lop to play prangksf z"", {'total_alterations': 50, 'delete': 7, 'replace': 26, 'insert': 17})"
13,1,positive,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('avf swashbucvlin tl od lklove ,wp bpetrayalb , revenge yand abqe all l fjitg k', {'total_alterations': 24, 'delete': 4, 'replace': 11, 'insert': 9})"
14,1,positive,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""ajqn interemstig sty with d psertinsnt u(m cinemtiwcally nnique ) mesnsge ,fz toh fairly well and seore bp perectton ,rv tp found myjself struggling ft niput h finger on that elusive `` missing thing ws ''"", {'total_alterations': 44, 'delete': 12, 'replace': 12, 'insert': 20})"
15,0,negative,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('hee man from elymsman fiedk izm a coiw d bsjliss-less wo ttha grfans along thinking itself sowse iportanx ctompent on rhof lft throws us somihe beiling curves m', {'total_alterations': 38, 'delete': 12, 'replace': 12, 'insert': 14})"
16,0,negative,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('percoeptile in te isjon moy nascent induistialized world eoliticms aa au ncx t tor y, bkt f t cyunkuy i idacti jd sadwlerd iaith senet tat semm stimsply anxn ill fit for thiys movie yh', {'total_alterations': 56, 'delete': 17, 'replace': 22, 'insert': 17})"
17,0,negative,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('it ace me rnt to wregh my eyes uy of my heood a woas hom at tnce screen .', {'total_alterations': 24, 'delete': 10, 'replace': 9, 'insert': 5})"
18,1,positive,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-wiee for the dadzvid maumt einthhsiast hnod for anyone bo aprecates itelligept r sptylis movitemakiung e', {'total_alterations': 28, 'delete': 9, 'replace': 7, 'insert': 12})"
19,1,positive,positive,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('txwe wegh nf thwef pijcb , hte ungerrng professionalism rf e chilly prodctgon xe a fe fascination embedhdeid in thh larid topbpc prooeg recommendatia enoukghp .yb', {'total_alterations': 42, 'delete': 13, 'replace': 13, 'insert': 16})"
20,1,positive,negative,puts a human face on a land most westerners are unfamiliar with . ,"('putsu o hupn face f k land mdt weqternersg aarm nfamiliqr wst bu', {'total_alterations': 22, 'delete': 5, 'replace': 13, 'insert': 4})"
21,1,negative,negative,"minority report is exactly what the title indicates , a report . ","('minority reposrft es sexacly wh ha ktitlb iniicats ,sq o report .', {'total_alterations': 18, 'delete': 6, 'replace': 5, 'insert': 7})"
22,1,positive,positive,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good haa casesl n reaht fight sccees k angpd a distihnctivem blend dof ceuropean , ameica arj asian influncesd .mt', {'total_alterations': 28, 'delete': 6, 'replace': 10, 'insert': 12})"
23,1,positive,positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('qai gorgewum wk high-spiritepm musicali frpm idiv jat exquismitelly blvednds cusc np, darnceq s sosg aw, akn high duama vr', {'total_alterations': 38, 'delete': 5, 'replace': 15, 'insert': 18})"
24,0,negative,negative,"not only unfunny , but downright repellent . ","('ho oonlky knfunny ,jt umt downright repellent qp', {'total_alterations': 12, 'delete': 3, 'replace': 2, 'insert': 7})"
25,1,positive,negative,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('om lawrence boudncs ) all odveqr nwe tfstage y, dacini x running ff sweating eq, mopping jhids dfdce and geknarally displaying the wary taeut taqt brxoght hcdm fmue v the first pla w.r', {'total_alterations': 44, 'delete': 10, 'replace': 14, 'insert': 20})"
26,0,negative,negative,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","('gdes znbt offer much beqids ggb aoubllessness d ranchqy language tnd aci serwe of brutal set pigces c.. tyt rige thc ebaw to stylkied screen iolernce .ad', {'total_alterations': 42, 'delete': 12, 'replace': 16, 'insert': 14})"
27,1,positive,positive,"a poignant , artfully crafted meditation on mortality . ","('a poignant ec, artfulpy crantei mediltaution on mortality y', {'total_alterations': 10, 'delete': 1, 'replace': 4, 'insert': 5})"
