id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,nuot s objfctionable  ddul hfilmi s ve merl acks everthincg eocep good ivntenions ut.
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",sozt ard benfeatr hue surasce  this reconigure trale aka dlsurbing qunlstions hmabout hoso thind wy elpefct frdo xmxilitary eics 
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . , dumb mois with um charactrs ding htumb thicngs and yop hpve o ea realxx dmb not kto seg wherx thi itse gging j
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","de sppial efecvts axzd danw scevgs  weighlessnesg ok  od rj beter han ixp hem oiginal l,w wqivle dhe oscarwinningv soknyd and waes hgorcer ' uousijg screl uakq god pse t thwse hefftyi audo sysftezm .eq"
4,0,done in other file,negative,teen movies have really hit the skids . ,teon moviesse havwm lreall it tle skdx 
5,1,done in other file,positive,a quiet treasure -- a film to be savored . , quietq teasure - zl film ox be savore .
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,vivlleneuve spnds tolr hucch tcm hallswing ier zbi  geneic ankfst wp thvr arre ba lt of hotps nq her gainwg out windwds r .
7,1,done in other file,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","iva has arm  spaa fd an tunlwike ma rjmantiz comredies l,b nn udoesl nn amiendte eiptherh gender in ltle oudjence e"
8,1,done in other file,negative,"though only 60 minutes long , the film is packed with information and impressions . ",togh etonly yv mnuges lhon  ntbe wfil ss aked dih infirmeation anq impressions .
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,zdgnse fit characted bnd ontakins soxe thriglinq mnoments u.
10,0,done in other file,negative,too much of the humor falls flat . ,bo mbch o tt humor fqllsv lal .
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,hih ' x wgorh y amz awrtist o u contreol of bwth s medium aend h messaghe qthatf hvke an improvizse likwef y jazzman k
