id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('yot an xbjnctionable kr dull fhnm c is merely xacts everything except lyod intentions .', {'total_alterations': 16, 'delete': 0, 'replace': 16, 'insert': 0})"
1,1,negative,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not fyr beneath the surfake q this reconfigured aaye usus disturbing questions abvot those things ne expect qrdm military epics k', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('e dumb oovze with dumb characters dodog dumb thingy and you vaie to bh really dumb not to pee where this ds going .', {'total_alterations': 16, 'delete': 0, 'replace': 16, 'insert': 0})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects anb many vcehes oo weightlessness look ha goic or better toan ir the original , lpile the oscar-winning sound ynd james horner 's roliing sborr make good use of the hefty audio system a"", {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
4,0,negative,negative,teen movies have really hit the skids . ,"('teen movies hame really hit the skids .', {'total_alterations': 2, 'delete': 0, 'replace': 2, 'insert': 0})"
5,1,positive,positive,a quiet treasure -- a film to be savored . ,"('a qwiet treohure -- a film to be savored .', {'total_alterations': 4, 'delete': 0, 'replace': 4, 'insert': 0})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends too muis tlmp wallowing in bibi 's generic ahgnt ( there are a lot of qhyts of her gazing out wvnpows ) ."", {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
7,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has charm to xpabe k and unaiie many romantok comedies , it does not alibrate eitxir gender in the audienbt .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
8,1,positive,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('thokgh ocey 60 minutes logs f vhe film is packed with information and impressions .', {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
9,1,positive,positive,dense with characters and contains some thrilling moments . ,"('dense with characters and contains some thrilling moments .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
10,0,negative,negative,too much of the humor falls flat . ,"('fos much of tcl ikmor falls flat .', {'total_alterations': 6, 'delete': 0, 'replace': 6, 'insert': 0})"
11,1,positive,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""id 's a work by an artksr sc in control rf zotl his medium and hic aessage thpr we can improvise like c jazzman ."", {'total_alterations': 22, 'delete': 0, 'replace': 22, 'insert': 0})"
