id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('nuu ae objnntionable ov dulb fnim d ii merely lanls eveyytxing jxyept good inientipns .', {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not far beneath shx sulfahe n thhs reconfigrrxd tale asks xixturbing quespiens ahojt thomb ghiogs lw exppkt sroy militjra npacs w', {'total_alterations': 32, 'delete': 0, 'replace': 32, 'insert': 0})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('k dumb mkvia wiim doxb characters dvikg dumb rhings amf yha oaue co le reaily cumb nor xb dew wheae jhps is joinm .', {'total_alterations': 38, 'delete': 0, 'replace': 38, 'insert': 0})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('tme sfewial efpecns and mayy scepns uc weithtlessress look sy gvwd dr decter ttat dn the orikinrl o uhihe tzw oscarawinnjng sousd and james sogner zc wouoing scoce mgke good uge gf thg cefty audio system r', {'total_alterations': 58, 'delete': 0, 'replace': 58, 'insert': 0})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('jeen mouijs hazr rsally hkt the ykjds j', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
5,1,done in other file,negative,a quiet treasure -- a film to be savored . ,"('t luint tweasuhe -- q film vo lt sivoced f', {'total_alterations': 16, 'delete': 0, 'replace': 16, 'insert': 0})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"('villeneuwe spbdds voo mumh time wallvwing in iibi ps generic aagst u tyeae aeb v lcp ob ssotn of her gazilg nmt windpwu w .', {'total_alterations': 38, 'delete': 0, 'replace': 38, 'insert': 0})"
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('iz has cmfrm ya sware h and uiliko mnjy romantic comedies f iv does not alienate either genaer in ete aqdienue n', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
8,1,done in other file,negative,"though only 60 minutes long , the film is packed with information and impressions . ","('topugh ozlf mb minutes mono , tfc dilh fs canked viuh information afd impressions e', {'total_alterations': 22, 'delete': 0, 'replace': 22, 'insert': 0})"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,"('dence wibh characters atm cnntjins sohk tvrilhing njments .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('too much of the dumor fajls fvat w', {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
11,1,done in other file,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"('is ts j work bo yi artfss jo as contbyl of hotz hjs mldiqm onz iii mdssagn that nb can imprevisj itke a sazzman .', {'total_alterations': 38, 'delete': 0, 'replace': 38, 'insert': 0})"
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 'b not original m and k gobked do twe eleplnt sf surprote y cc fpes e't hkne anc huge lajggs hn imw story ou irresponsible eoks whw aqve wy play urankt u"", {'total_alterations': 50, 'delete': 0, 'replace': 50, 'insert': 0})"
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('c swashbuckling tplm of love , betrayal u redengd uhd kbode all s yaitu r', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
