id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('t a objectionable or dull im ; it merely aks vrything except od ntentons .', {'total_alterations': 13, 'delete': 13, 'replace': 0, 'insert': 0})"
1,1,done in other file,positive,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not far benth the suace , this reconfigured tale asks istubing quetins about toe thns w exct from military epics .', {'total_alterations': 15, 'delete': 15, 'replace': 0, 'insert': 0})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a dumb moe wi dumb chaactrs oin dumb tngs d you hv t be raly dumb not to s whe is is oig .', {'total_alterations': 25, 'delete': 25, 'replace': 0, 'insert': 0})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""h special effects d my scenes of weightlessness lk a go r better th n e original , while the oscar-winning sound and jam horner 's rsing soe make good e f t hefty auo syem ."", {'total_alterations': 32, 'delete': 32, 'replace': 0, 'insert': 0})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('teen moes hv really hit the kds .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,"('a quiet tasure -- a film o be savored .', {'total_alterations': 3, 'delete': 3, 'replace': 0, 'insert': 0})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""vileneue spns too mc im wllowng i bi 's gneri ang ( there e a o f sts f r gzng o windows ) ."", {'total_alterations': 31, 'delete': 31, 'replace': 0, 'insert': 0})"
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has charm o are , and nike ny romantic comdes , t oe o alieat either gend i the audnce .', {'total_alterations': 21, 'delete': 21, 'replace': 0, 'insert': 0})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('thog only 60 minutes on , the fl is packed it nfomation and impressions .', {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
9,1,done in other file,positive,dense with characters and contains some thrilling moments . ,"('des with characters a contains some thrilling moments .', {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('o much o the humor falls flat .', {'total_alterations': 3, 'delete': 3, 'replace': 0, 'insert': 0})"
11,1,done in other file,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a work by an artist s n cnrol f bh his medium n his essge that he can improvise like a azzan ."", {'total_alterations': 13, 'delete': 13, 'replace': 0, 'insert': 0})"
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it s n origna , a , robbed of h elemn o surprs , t oe ' have any huge lghs in t tor o iresonsible cops who love to play pranks ."", {'total_alterations': 28, 'delete': 28, 'replace': 0, 'insert': 0})"
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashbuckling tl o ov , betayl , revee a aov l , ait .', {'total_alterations': 17, 'delete': 17, 'replace': 0, 'insert': 0})"
14,1,done in other file,negative,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""n interesting story with a pertnet ( cineaticaly unique ) messa , to arly well n soed t rfection , i found myel struggling t u m finger o th elusive ` misin thing . '"", {'total_alterations': 31, 'delete': 31, 'replace': 0, 'insert': 0})"
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('the m fm elysian fields s a cold , blss-les wk ta groans aog thnkng tslf some important cment on w life trws us so beguiling crve .', {'total_alterations': 27, 'delete': 27, 'replace': 0, 'insert': 0})"
16,0,done in other file,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('percepiv in its vion o acent industrilize world politics s a n art form , but f t clunky , didactic a saddled ih scen that em simply n ill t for this moe .', {'total_alterations': 29, 'delete': 29, 'replace': 0, 'insert': 0})"
17,0,done in other file,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('i made me want o wenh my ye t of y ed n toss th a the scre .', {'total_alterations': 18, 'delete': 18, 'replace': 0, 'insert': 0})"
18,1,done in other file,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a mstsee for t david mamet enthusiast n f anyone who aprecites intelligent , stylish moviemaking .', {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
19,1,done in other file,positive,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('e wegh of the iec , t erring professionalism of e chilly proction , n the fascinaon embedded n the lud toi pre recommenaion enough .', {'total_alterations': 27, 'delete': 27, 'replace': 0, 'insert': 0})"
20,1,done in other file,negative,puts a human face on a land most westerners are unfamiliar with . ,"('puts a human fc n a an os westrnes are unfamili with .', {'total_alterations': 11, 'delete': 11, 'replace': 0, 'insert': 0})"
21,1,done in other file,negative,"minority report is exactly what the title indicates , a report . ","('minority eort i exactly wt the title dicates , a report .', {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
22,1,done in other file,positive,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good car chases , grt fgh scenes , and a distinctive ben f eurpea , merian and san nflences .', {'total_alterations': 15, 'delete': 15, 'replace': 0, 'insert': 0})"
23,1,done in other file,positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a orgeus , high-spirited musical from india that exquisitely blends music , dance , song , n gh dra .', {'total_alterations': 8, 'delete': 8, 'replace': 0, 'insert': 0})"
24,0,done in other file,negative,"not only unfunny , but downright repellent . ","('o only unfny , but owright repellent .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
25,1,done in other file,negative,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('( lawrence bunce ) l or e stage , danig , nning , swting , moppi i ae d generally dispaing h acy tlet ht brought h me n the irt place .', {'total_alterations': 39, 'delete': 39, 'replace': 0, 'insert': 0})"
26,0,done in other file,negative,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""does ' offer mc besides glib soullessness , runcy language n a series of brul t pece ... that raise the r on stylized reen volene ."", {'total_alterations': 20, 'delete': 20, 'replace': 0, 'insert': 0})"
27,1,done in other file,positive,"a poignant , artfully crafted meditation on mortality . ","('a pognnt , rtfuly rfted meitatio o mortality .', {'total_alterations': 9, 'delete': 9, 'replace': 0, 'insert': 0})"
28,0,done in other file,negative,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""s ` hck flik ' go , this n is pretty miserable , esoting o string-pulling athe than legitimate hracter deelopmet d inellignt loting ."", {'total_alterations': 22, 'delete': 22, 'replace': 0, 'insert': 0})"
29,1,done in other file,positive,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"(""it ' one heck o a character sud -- not f hers o davi but of h unique relationship etwen em ."", {'total_alterations': 16, 'delete': 16, 'replace': 0, 'insert': 0})"
