id,label,result_original,result_attacked,original_text,attacked_text
0,0.16666999459266663,negative,negative,"Just one more collection of penis , breast and flatulence gags in search of a story .","tsu on rome loclecion f pnis , reasx dn latulnewe sagg on deach y a slot ."
1,0.583329975605011,negative,negative,"The attempt is courageous , even if the result is wildly uneven .","ehT attempk sm ouragpous , even j khe resul ip wiyll uneven ."
2,0.5,negative,positive,"If this movie belonged to a sorority , it would be called Beta Alpha Delta .","af tsio meio beloged ot a sorority , i woul et dallec tea Alpha Delta ."
3,0.5555599927902222,negative,negative,"Both stars manage to be funny , but , like the recent I Spy , the star chemistry begs the question of whether random gags add up to a movie .","htr stars meaga o be fuynn , tu , lpke the ecewn I Sy , eot itar chemirwsy ibs the queltin of wtxher rndom gag add q to a moig ."
4,0.36111000180244446,negative,negative,"She lists ingredients , but never mixes and stirs .","Shp isgs ingrediznts , ubt neve xires asd btirs ."
5,0.38888999819755554,negative,negative,"While the mystery surrounding the nature of the boat 's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .","Wihlv et eysmry surrounding the nsteru t the bota s oaledictim remain innrigeitg enouhg to sutain midl interesr , teh eiqurp refuses t offer umh accomanying sustenance pn ht wjy ov characterization , hrmou d lain ols ppcorn fnu ."
6,0.44444000720977783,negative,negative,The film 's implicit premise is that the faith of the Tonga people is in every way inferior to that of John .,The fla s implcit prmise b that ez ahth p eat Tpga peobl si in every py infeiov t that f nohJ .
7,0.2777799963951111,negative,negative,Birot 's directorial debut ( she co-wrote the script with Christophe Honoré ) is n't so much bad as it is bland .,iBrod 'r directoricl debu ( hse cw-orjte et script tiwh Christophe Holorn ) si 'n po mhc bc ac ty sy vand .
8,0.36111000180244446,negative,negative,"The creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is routine .","xe cjeaking , rusty hip kaed a feni bakdhop , but ey gotss ' euntiag qi riutone ."
9,0.22222000360488892,negative,negative,Apparently kissing leads to suicide attempts and tragic deaths .,Agparently kiisng lesd t sjicide attemtps da tgaric neaths .
10,0.7638900279998779,negative,negative,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,iappily rz dr ihc z hnugh unhacply fd sh subjshte - te invisible ahnd j et mtrctplaee rtae a scipt htat f uhma scrtenwrieer conld hay hopee w htcm .
11,0.2916699945926666,negative,negative,Never mind whether you buy the stuff about Barris being a CIA hit man .,eNvhr niad wethed yo lby ue fius about Barri beinn a ICA it man .
12,0.38888999819755554,negative,negative,Too bad the former Murphy Brown does n't pop Reese back .,To ya tg fmrmer Maruh Brno does n't pop esep bcq .
