id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('n a objectionable r dl film ; it mely lck veryting except good itentins .', {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not f beneath e surfe , hi reonfigred tale as isturbng questions aot ose things we exec rm miitar eis .', {'total_alterations': 26, 'delete': 26, 'replace': 0, 'insert': 0})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a um mvi it dm chaacter doing dumb things and o he to be really dm n t e whe is i ong .', {'total_alterations': 28, 'delete': 28, 'replace': 0, 'insert': 0})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('the special efecs n ny scns of wihtlessness oo s go r betr an n t origna , wie the oscar-winning sound d james hoer s rousing sre ae go s of t hefty uio system .', {'total_alterations': 44, 'delete': 44, 'replace': 0, 'insert': 0})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('teen move av really hit h ids .', {'total_alterations': 8, 'delete': 8, 'replace': 0, 'insert': 0})"
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,"('a qui treasure - a film to be aored .', {'total_alterations': 5, 'delete': 5, 'replace': 0, 'insert': 0})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneu sped o uc te wallowing i ib ' eneic angst ( her a a t f sts f r gzig out windows ) ."", {'total_alterations': 30, 'delete': 30, 'replace': 0, 'insert': 0})"
7,1,done in other file,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('t a car t pre , d unie many rmntic medies , i os not alieat iher endr in e adiene .', {'total_alterations': 29, 'delete': 29, 'replace': 0, 'insert': 0})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('ough only 6 mutes on , e lm s packed with inoration a iprssions .', {'total_alterations': 18, 'delete': 18, 'replace': 0, 'insert': 0})"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,"('dense th charaers a contan se hrillin omens .', {'total_alterations': 14, 'delete': 14, 'replace': 0, 'insert': 0})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('o mc f e humor all lt .', {'total_alterations': 11, 'delete': 11, 'replace': 0, 'insert': 0})"
11,1,done in other file,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it ' a wk b n artist o i control o th his meum and s message ht e can mprovie ke a jazzn ."", {'total_alterations': 23, 'delete': 23, 'replace': 0, 'insert': 0})"
