id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not hamn obvjiectionable morq uduoll fqilmf kt; ietw mereulym lacvkbs evberythinjg excepwtc gpyood intdesntions w.m', {'total_alterations': 28, 'delete': 0, 'replace': 0, 'insert': 28})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('notwl far beneathku tiihe surfsabce , this reconfigured ttalex asjcks disturbing xquestbions abobzut thotjse things wenx exvpyect from mfiilitary epicsxj .mm', {'total_alterations': 28, 'delete': 0, 'replace': 0, 'insert': 28})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('amw zxdumb mcoviec with dumzgb charactersus doing zldumb tphipngs tagnd you hwaave jtok btev reoallyw dumb yonot to siete where thsigs ihbs gotincg .', {'total_alterations': 34, 'delete': 0, 'replace': 0, 'insert': 34})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the specaiawl efffectis xyand manyfu scveneas okcf weightlessness look fais goqhod egor rbetzter txhaan innt tzhee originnmal ,ep krwhile iwthe oyscart-winning sonunwd aannd james hrornerp 's rodmusing hscorue make gokodl suxse of teheb hegfaty uauhdio sysuitem ."", {'total_alterations': 58, 'delete': 0, 'replace': 0, 'insert': 58})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('teen umovipes hpauve realolny gdhit jthed qskidhs .da', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,"('a quiet treqasyure -vn- awx zfilfm tokt blie swavomred qd.', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeyneupve sperndqs too mumuch titzme wallowing uain gbhibi 'osr gxenercic angvsat e(t fthwere amret fau lotkr ioof scohots ofps hercy iglazing out windhoews x)l ."", {'total_alterations': 42, 'delete': 0, 'replace': 0, 'insert': 42})"
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('itdr vhfas charzam buto jsppare , and uhdnlike many romantiupc comedixezs , dint does dunot alienatbie eirthexr qgeonder ianx zthte iaudiewnce uy.', {'total_alterations': 34, 'delete': 0, 'replace': 0, 'insert': 34})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('pgthough olnlye 60 milnutves qlrong , btheb fcilam is tpiacked weyith information and impressions f.q', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,"('denxsee with characters anfds contaiobns somaes thorillinvg momnenzts .ku', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('too much ohef theiu oehumor falls tflabt .', {'total_alterations': 8, 'delete': 0, 'replace': 0, 'insert': 8})"
11,1,done in other file,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""vizt g'fs a work bqyf banj sarptist so in cointwrol orgf jbothe his medium bnand his messangel that hevj crant imsprovuise ltyike a jazzman ."", {'total_alterations': 28, 'delete': 0, 'replace': 0, 'insert': 28})"
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""dimt s'as not original ov, kandf g,i mprobbed of akthe elwemkent ckof suxrproise sz, okit does n't hyavpe any hcuhge lgoaughs in vaits dsztory uofn irrespoxnsibloe scoups whhof lovhie to plauyr pranks k.y"", {'total_alterations': 48, 'delete': 0, 'replace': 0, 'insert': 48})"
13,1,done in other file,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('rag swaoshbucfkling ftalae ofpc wlovle q,l beterrayal ,ip revenge axndr abocpve alltu c,h faith b.d', {'total_alterations': 26, 'delete': 0, 'replace': 0, 'insert': 26})"
14,1,done in other file,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""anxq ivnterestaing cjstory xawith a pbertinentj (ri cineumatiucally unique ) meyssaged m,o tqohld fairllly well and scored tyeo pebrfejction z,j i qfournd myself strzuggqling to put moym firngeer uoin that dfelusive `o`x missincgm tzhijng g.r ''"", {'total_alterations': 48, 'delete': 0, 'replace': 0, 'insert': 48})"
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('thezf zmaqn from edlyosian fields ipsi afn cuoldg ,on bliss-lejsss woirkz that gfroanms along thinking itssealf some importxantj commxenft aomn how leifoe throws us somedg bueguilindg cwursves .oe', {'total_alterations': 38, 'delete': 0, 'replace': 0, 'insert': 38})"
