label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not sn objectionable h dull film ; it merely lacks everything except good xntenlions .', {'total_alterations': 6, 'delete': 2, 'replace': 3, 'insert': 1})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('rnt far beneath dte surface , this reconfigured tale asks disturbing questions abox those things we expect from military epics .', {'total_alterations': 6, 'delete': 3, 'replace': 1, 'insert': 2})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('au dumb movie with dumb characters doing dumb things and you have mo be really dumb not to jeye where this is going .', {'total_alterations': 6, 'delete': 1, 'replace': 2, 'insert': 3})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects and many scenes of weightlessness look as good or eter than in the oycriginal , whil the oscar-winning sound and james horner 's rousing score make go use of chce hefty audio system ."", {'total_alterations': 10, 'delete': 5, 'replace': 2, 'insert': 3})"
0,teen movies have really hit the skids . ,"('teen movies have really hit the vknds .', {'total_alterations': 2, 'delete': 0, 'replace': 2, 'insert': 0})"
1,a quiet treasure -- a film to be savored . ,"('a hquit treasure -- a film to be savored .', {'total_alterations': 2, 'delete': 1, 'replace': 0, 'insert': 1})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""cviflleneuve spends too much time wallowing ie bibi 's generic angst ( there are a o of shots of her gazik out windows ) ."", {'total_alterations': 10, 'delete': 4, 'replace': 3, 'insert': 3})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has charm to spare e and unlike many romantic comedies , it does not alienate evther gender in the audience .', {'total_alterations': 4, 'delete': 1, 'replace': 2, 'insert': 1})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('though only 60 minutes long , the fbm is packed with information and imressions .', {'total_alterations': 4, 'delete': 2, 'replace': 2, 'insert': 0})"
1,dense with characters and contains some thrilling moments . ,"('dense lth characters and contains some thrilling moments .', {'total_alterations': 2, 'delete': 1, 'replace': 1, 'insert': 0})"
0,too much of the humor falls flat . ,"('too much of the humor falls flat .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a work by an artist ho iu control of both his mebdium an his mesisae thatvx he can iprotise like a jazzman ."", {'total_alterations': 14, 'delete': 4, 'replace': 5, 'insert': 5})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's ntvt original , and , robbed of the element of surprise , it does n't have any huge laughs in os story of irresponsible cops who love to yzlay pranks ."", {'total_alterations': 8, 'delete': 2, 'replace': 3, 'insert': 3})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('aeq swashbuckling tale of love , betrayal , revenge and above all , faith .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""an interesting story with a pertnent ( cinematically unique ) message , told faiyray well and scored pn perfection , t found myself struggling to pt my finger on that elusive `` missing thing . ''"", {'total_alterations': 10, 'delete': 2, 'replace': 7, 'insert': 1})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('uhe man from elysian selds is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .', {'total_alterations': 4, 'delete': 2, 'replace': 1, 'insert': 1})"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('perceptive in its visio of nascent industrialized worfldo politics as a new art form , but far too clunky yk dipdctic and saddled with scenes hthrat seem simply an ill fit f this movie .', {'total_alterations': 12, 'delete': 4, 'replace': 2, 'insert': 6})"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('it made me want to renchf my eyes out of my head and toss them at the screen .dj', {'total_alterations': 4, 'delete': 1, 'replace': 0, 'insert': 3})"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-see for thepd eavi mamet enthusiatt and for anyone who appreciates intelligent , stylish moviemaking .', {'total_alterations': 6, 'delete': 2, 'replace': 1, 'insert': 3})"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('the weight of the piece , the unerrinj profssiconalism of the chilly production , and the fascination embedded in the luod topircm prove recommndaition enousg .', {'total_alterations': 12, 'delete': 5, 'replace': 1, 'insert': 6})"
1,puts a human face on a land most westerners are unfamiliar with . ,"('puts a human fafqe on a land most westerners are unfamiliar wivt .', {'total_alterations': 4, 'delete': 1, 'replace': 1, 'insert': 2})"
1,"minority report is exactly what the title indicates , a report . ","('minority report is exactly what the title indicates , a report .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good car chases , great fight scenes , and a ditinctizve blend uf european , american and asian influences .', {'total_alterations': 4, 'delete': 1, 'replace': 2, 'insert': 1})"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drkmm .', {'total_alterations': 2, 'delete': 0, 'replace': 2, 'insert': 0})"
0,"not only unfunny , but downright repellent . ","('not only unfunny , but downright repellmente .', {'total_alterations': 2, 'delete': 0, 'replace': 0, 'insert': 2})"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('dd lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally dnispaying the wacky talent ktht brought him fame f the first place ov', {'total_alterations': 10, 'delete': 3, 'replace': 3, 'insert': 4})"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""does n'out offer much besides glib soullessness , raunchy language and a series of brutal set pieces .tj. that raise the bar on stylized screen iolnce cx"", {'total_alterations': 8, 'delete': 2, 'replace': 2, 'insert': 4})"
1,"a poignant , artfully crafted meditation on mortality . ","('a poignant , artfully crafted meditation on mortality .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""as ` chick flicks ' go vz, this oe is pretty miserable , resorting t string-pulling eathejr ha legitimate chnracten development and intelligent plotting ."", {'total_alterations': 12, 'delete': 4, 'replace': 5, 'insert': 3})"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"(""it 's one heck of a character study -- oct of hearst or deacvies but of the unique relationship between them ."", {'total_alterations': 4, 'delete': 1, 'replace': 0, 'insert': 3})"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"(""it 's hampered by a lifeatise-channel kind of plootd and a xeadj actress who iwn out m her depth ."", {'total_alterations': 10, 'delete': 1, 'replace': 4, 'insert': 5})"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","(""what 'nsu surprising about full frontal is thlct desit its nver self-awareness , parts of the movie still manage to break past the artifdiceh and thoroughly engage you ."", {'total_alterations': 10, 'delete': 3, 'replace': 2, 'insert': 5})"
1,i just loved every minute of this film . ,"('i just loved every minute cef this film .', {'total_alterations': 4, 'delete': 1, 'replace': 1, 'insert': 2})"
1,a woman 's pic directed with resonance by ilya chaiken . ,"(""a woman 's pic directed vwth resonaice by ilya chaiken hq"", {'total_alterations': 6, 'delete': 1, 'replace': 3, 'insert': 2})"
0,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('a by-the-numbers patent/doctoir pic taf covers all the usual ground', {'total_alterations': 6, 'delete': 3, 'replace': 1, 'insert': 2})"
1,michael gerbosi 's script is economically packed with telling scenes . ,"(""michael gerbosi 's script iw economically pnacced with telling scenes ."", {'total_alterations': 4, 'delete': 1, 'replace': 1, 'insert': 2})"
1,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","(""there 's sohmetling afpicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg bc follow a.i. oito this challenging report so liable to unnerve the majority ."", {'total_alterations': 8, 'delete': 1, 'replace': 6, 'insert': 1})"
1,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","('h..q a fun little timewaster , helped especially by the co presence of jean reno je', {'total_alterations': 6, 'delete': 2, 'replace': 2, 'insert': 2})"
0,but it 's too long and too convoluted and it ends in a muddle . ,"(""but it 's too long and too convoluted and it ends in a muddle ."", {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
0,a valueless kiddie paean to pro basketball underwritten by the nba . ,"('a valueless kiddie paean to vo basketball underwritten fyz the nba h', {'total_alterations': 6, 'delete': 1, 'replace': 4, 'insert': 1})"
1,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ","('a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for jr cnoutry stiblll dealing with its facistw past .', {'total_alterations': 8, 'delete': 2, 'replace': 1, 'insert': 5})"
0,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,"('y.. a boring pade of talking heads d technical gibberish that will do little to advane mthe linux cazise e', {'total_alterations': 16, 'delete': 7, 'replace': 5, 'insert': 4})"
1,"if you 're hard up for raunchy college humor , this is your ticket right here . ","(""yfp you 're arbd up for raunchy college humor , this uil your ticket right here ."", {'total_alterations': 8, 'delete': 1, 'replace': 4, 'insert': 3})"
0,the problem with this film is that it lacks focus . ,"('the problem with this rlm if that it lautcks focus .', {'total_alterations': 6, 'delete': 1, 'replace': 3, 'insert': 2})"
0,"an absurdist comedy about alienation , separation and loss . ","('aqf absurdist cmbdy about alienation , separation and loss .', {'total_alterations': 4, 'delete': 1, 'replace': 2, 'insert': 1})"
1,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ","(""a coda in every sense , the pinocheqd case splits time between a minute-by-minute account offc the british court 's extradition chess game and the regime 's talking-head survivors ."", {'total_alterations': 4, 'delete': 0, 'replace': 1, 'insert': 3})"
1,"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . ","('( t ) his beguiling belgian fable , jveqy much its own roel and delicate little film , has some tching things to say about what is important in life n why .', {'total_alterations': 8, 'delete': 5, 'replace': 2, 'insert': 1})"
0,it all feels like a monty python sketch gone horribly wrong . ,"('it all feels like a bmontys python sketch gone horribly wrpnjg .', {'total_alterations': 4, 'delete': 0, 'replace': 1, 'insert': 3})"
