label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not an objectionable o dull il ; it merely lacks everything except good intentions .', {'total_alterations': 3, 'delete': 3, 'replace': 0, 'insert': 0})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not far beneath the surface , this reconfigured tale asks disturbi questions aou those things we expect om military epics .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a dumb oie with dumb chrcters doing ub things and you have to be really dumb not to see where this is going .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects and many scenes of weightlessness look s od or better than in the original , while the oscar-winning sound and james horner 's rousing sce make good use of the hefty aui system ."", {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
0,teen movies have really hit the skids . ,"('teen movies have really hit the skids .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
1,a quiet treasure -- a film to be savored . ,"('a quiet treasure -- a film to be savored .', {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) ."", {'total_alterations': 0, 'delete': 0, 'replace': 0, 'insert': 0})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it has arm t sar , and unie many romantic comedies , i does not alienate eter gender in the auince .', {'total_alterations': 12, 'delete': 12, 'replace': 0, 'insert': 0})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('though only 60 minutes long , h film i packed with information and mpresions .', {'total_alterations': 5, 'delete': 5, 'replace': 0, 'insert': 0})"
1,dense with characters and contains some thrilling moments . ,"('den with characters a conins some thrilling moments .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
0,too much of the humor falls flat . ,"('o much of the humor falls flat .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a ok by an artist so in ontro of both his medium and his message that he can improvise like a jazzman ."", {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's not original , and , robbed of the element of surprise , t does n't have any huge laughs in its story f irrsonsible cops who love to play pranks ."", {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashbuckling tale of love , betrayal , revenge and bov all , fai .', {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""an interesting toy with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found mysf struggling to put my finger on that elusive `` misig thing . ''"", {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('the man from elysian fields s a cold , bliss-less work that groans along thinkg itself some important comment on w life throws us some eguling curves .', {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('perceptive in t vision of nascent industrialie world politics as a new art fm , but far too clunky , didactic and saddled th scenes that seem simply an ill t for this movie .', {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('it made me want to wrench my eyes out of my head and toss them at e screen .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-see for the vid mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('e wegh o the piece , the uneing professionalism of the chilly production , and the fascination embedded in the lurid topic prove rcomendation enough .', {'total_alterations': 9, 'delete': 9, 'replace': 0, 'insert': 0})"
1,puts a human face on a land most westerners are unfamiliar with . ,"('puts a human face n a land most westerners are unfamiliar with .', {'total_alterations': 1, 'delete': 1, 'replace': 0, 'insert': 0})"
1,"minority report is exactly what the title indicates , a report . ","('minority report is exactly wa the title indicates , a report .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good car chases , great fig scenes , and a distinctive blend of euroea , american and asian nluences .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a gorgeous , high-spirited musical ro nda that xquistely blends music , dance , song , and high drama .', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
0,"not only unfunny , but downright repellent . ","('o only unfunny , but downright repellent .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that roght him fame in the first place .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""does n't offer much besides ib soullessness , raunchy langae and a series of brutal set pieces ... th raise the bar on stylized screen violence ."", {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
1,"a poignant , artfully crafted meditation on mortality . ","('a poignant , artuly crafted meditation on mortality .', {'total_alterations': 2, 'delete': 2, 'replace': 0, 'insert': 0})"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""as ` chick flck ' go , hi one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting ."", {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"(""it 's one hk of a character study -- n of hest or davies but of the niqu relationship etwee them ."", {'total_alterations': 10, 'delete': 10, 'replace': 0, 'insert': 0})"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"(""it ' hampered by a lifetime-channel kind o plot and a ea actress who is out o her eth ."", {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","('at s surprising about full frontal i that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .', {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
1,i just loved every minute of this film . ,"('i just loved eve minute o this film .', {'total_alterations': 3, 'delete': 3, 'replace': 0, 'insert': 0})"
1,a woman 's pic directed with resonance by ilya chaiken . ,"(""a wma 's pic directed with reonnce by ilya chaiken ."", {'total_alterations': 4, 'delete': 4, 'replace': 0, 'insert': 0})"
0,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('a y-he-numbers patientdocor pic that cors all the usual ground', {'total_alterations': 6, 'delete': 6, 'replace': 0, 'insert': 0})"
