id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('t anc objctionble ozr dull film ce t merclt lacks eerthing except good intentions .', {'total_alterations': 16, 'delete': 7, 'replace': 6, 'insert': 3})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('vft tfar bveneah htmhe sugrfce x tils ecuonfigured taleo vasksr disturbing questions aoqt those thin t exhect ycfrom miilitar ericsg od', {'total_alterations': 36, 'delete': 10, 'replace': 10, 'insert': 16})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('c dumb movie it dump characters doio dumb thing agn u have to be really dumb mmot te xe wbee this ms gsoicg ii', {'total_alterations': 30, 'delete': 12, 'replace': 11, 'insert': 7})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""hoe secdal elfects an mvy scners vqf weightessnesbs look xus goda rr ltter tfhat in the original ,zx while mthhe oscarj-winninhg oukd and jamvks horner s'bs rouszg score miae goodvx vsve of tm hnfvy udi syotm .zf"", {'total_alterations': 56, 'delete': 17, 'replace': 15, 'insert': 24})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('en vies owve yeally hit the skids ob', {'total_alterations': 10, 'delete': 4, 'replace': 5, 'insert': 1})"
5,1,done in other file,positive,a quiet treasure -- a film to be savored . ,"('yr quit treasure e r fiw tjm be savored .', {'total_alterations': 14, 'delete': 4, 'replace': 7, 'insert': 3})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""vilpeneuzve mpendz tor coch te wallyoiwing in bibi 's gehngeric anysg yd themrve are dv lro oda sows otfo ihekr gazing puv windows )ii w"", {'total_alterations': 40, 'delete': 6, 'replace': 15, 'insert': 19})"
7,1,done in other file,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it havr chaik go spdry , aiad uunike many romapftic comedies s, tc does nyoo tlienaje either endegr j tce audience c', {'total_alterations': 34, 'delete': 9, 'replace': 12, 'insert': 13})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('thoouh onqc c0k yminsutes lofqg , ptke fivnlm is packed wii information and impressnons .', {'total_alterations': 20, 'delete': 4, 'replace': 6, 'insert': 10})"
9,1,done in other file,positive,dense with characters and contains some thrilling moments . ,"('uenwse th curacters and containw some thrillgnxg moments .', {'total_alterations': 10, 'delete': 4, 'replace': 3, 'insert': 3})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('tooki much or tgm humor fals flavte dd', {'total_alterations': 12, 'delete': 2, 'replace': 4, 'insert': 6})"
11,1,done in other file,negative,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""cnt k'ts a work tb adh artist bo h ontrof hpf bjh hsj mmeoium and hs essagie that hyhe cuay sjmprovise le f jazzmnz ."", {'total_alterations': 38, 'delete': 11, 'replace': 12, 'insert': 15})"
12,0,done in other file,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","('tz l vnotu oriugial bu and mh robbewsd t wtho element of surpriieu bc it de t have nyi huge laaughh xi iqs btorj of irresponsible op h lood to pnay praks c', {'total_alterations': 48, 'delete': 16, 'replace': 17, 'insert': 15})"
13,1,done in other file,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('r swashbucklybg tale df yve , betrayal , revenge tnad aekove cll y faith vf.', {'total_alterations': 18, 'delete': 2, 'replace': 11, 'insert': 5})"
14,1,done in other file,negative,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","('ai internstin stbr wtjh qa nerticent (w cinemically unniwque ) mexscge q tollde frly well av scored t erfzction c to founub mysdeef struggling to put hqy figner on ht elkxsive `jv jissizg thi ey v', {'total_alterations': 58, 'delete': 16, 'replace': 27, 'insert': 15})"
15,0,done in other file,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('tfhe man from elysian foields izs a cold ,qo blizbs-less workdd tnhoat ngroanso amhong hinkzing itselefo iome impotannt cmmeot otq how qqife throrw uzi omee beyuiliung curbve yr', {'total_alterations': 46, 'delete': 8, 'replace': 11, 'insert': 27})"
16,0,done in other file,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('ercepitive ik its visiinn f naofent xndusttrialized world cpolitlics aa m new aot form d iu far t luncy , didactic and sazddjled wzth scenes thx ses simpuq dan l fit o tvss bmovies pu', {'total_alterations': 54, 'delete': 16, 'replace': 23, 'insert': 15})"
17,0,done in other file,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('it fadje kw want o wrncnh kmgy eyes mjt jof mya head mnyd tor ethtem at tghre bcree k', {'total_alterations': 30, 'delete': 5, 'replace': 13, 'insert': 12})"
18,1,done in other file,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a mustssew nor txhe daveiu mamet egthuiast nnp for ayonk who aporerciates intelligenti wj stlisi moviemlakmng .', {'total_alterations': 24, 'delete': 3, 'replace': 15, 'insert': 6})"
19,1,done in other file,positive,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('the weih gorf hth uiece rv, the unerkinp professioalsm bof the jchillj produtio z, ad tfhn facinatio iembeddyd b mhwe lelrid topip prove recommendation enough .', {'total_alterations': 38, 'delete': 12, 'replace': 13, 'insert': 13})"
20,1,done in other file,negative,puts a human face on a land most westerners are unfamiliar with . ,"('qucs a hfmagn vac o r land most jwysterners areol unfamiliar with fu.', {'total_alterations': 16, 'delete': 2, 'replace': 8, 'insert': 6})"
21,1,done in other file,negative,"minority report is exactly what the title indicates , a report . ","('minority jrport hrs eactlyy hwhatt he rtle indxicatet , a reorqt ub', {'total_alterations': 18, 'delete': 5, 'replace': 5, 'insert': 8})"
22,1,done in other file,positive,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good car cjwases ,wh rrert oight scenes , and p dxisgtinctive blend r eujopea oy american and iasiah influjces i', {'total_alterations': 26, 'delete': 5, 'replace': 12, 'insert': 9})"
23,1,done in other file,positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a gorgeuos ,fu high-spirited vusical gfcrom indip th exquasiteln blends music li dance u,v song w qaud high cramas fa', {'total_alterations': 26, 'delete': 4, 'replace': 10, 'insert': 12})"
24,0,done in other file,negative,"not only unfunny , but downright repellent . ","('not onlc unfunmnvy , qbbut dwnrigyt repellep .', {'total_alterations': 10, 'delete': 3, 'replace': 2, 'insert': 5})"
25,1,done in other file,negative,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('(zc lawrne bounces dl all ovq tm xstage e daing ot rujningk p sweating ,ms mopspidng his xoace and generally displavyinj othn wacky zalewt that bdroufght hyi aame oy tlhde dfirset pqade c', {'total_alterations': 50, 'delete': 11, 'replace': 15, 'insert': 24})"
26,0,done in other file,negative,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","('vqoes nh offer mut besides wlb soullessness , raknch langukg atd kt sqies n bfual pse pieces .pp tat rair tre bar xong stylized screen voolencie .', {'total_alterations': 36, 'delete': 11, 'replace': 19, 'insert': 6})"
27,1,done in other file,positive,"a poignant , artfully crafted meditation on mortality . ","('zal poignant t arflly crafted meeditbation on mortality ye.', {'total_alterations': 10, 'delete': 2, 'replace': 2, 'insert': 6})"
28,0,done in other file,negative,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""as m chck fliksx n' go sv this ae ui prcetty mibsxrable a rnsorticng e string-puleineg rahur tnag lgitimlte character devropment vanyd intelligent zloxting ."", {'total_alterations': 38, 'delete': 8, 'replace': 20, 'insert': 10})"
29,1,done in other file,negative,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"('it q one heel ao a charccter szdy j-h t of heasqt or dvxies but of hqe plnique relxationsvhip etwee rtfem .', {'total_alterations': 32, 'delete': 12, 'replace': 9, 'insert': 11})"
30,0,done in other file,negative,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"(""k f' mampere by a liftime-channl kindp of plot ed d lweapd atrenss whe hs ouktw ef hr depth ge."", {'total_alterations': 30, 'delete': 9, 'replace': 11, 'insert': 10})"
31,1,done in other file,positive,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","(""vht a'sr suprisng aou aull frontal cds tsap despite bth ovrp self-awarezess l parts f thbqe mvie sstillb manage to bfeak past wthes artifice a thzroughly engage you c"", {'total_alterations': 44, 'delete': 14, 'replace': 17, 'insert': 13})"
32,1,done in other file,positive,i just loved every minute of this film . ,"('i jusut lovezwd emry minutss ue tuhs film o', {'total_alterations': 16, 'delete': 4, 'replace': 5, 'insert': 7})"
33,1,done in other file,negative,a woman 's pic directed with resonance by ilya chaiken . ,"('fm womzny js c directed itp rebtonance v lyp chackn p', {'total_alterations': 20, 'delete': 7, 'replace': 9, 'insert': 4})"
34,0,done in other file,negative,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('a by-the-vumers patien/boctor yic thty covqvs all hej udsuavl ground', {'total_alterations': 14, 'delete': 4, 'replace': 6, 'insert': 4})"
35,1,done in other file,negative,michael gerbosi 's script is economically packed with telling scenes . ,"('mibgchael getrbosgi crs zscrpt sd ezconomically panke fth telliwbg sclene .', {'total_alterations': 20, 'delete': 4, 'replace': 7, 'insert': 9})"
36,1,done in other file,positive,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","(""terev 'yxs somothng aucpibcious fy and daring ,ua tfos jx ahbou yhue artistic nutinct thnwt pushes a majority-riesnted direjror liie stevjn spielberg to follow a.i. wxt this challexgig report svr lablfe vtx unnerve hne majority .bs"", {'total_alterations': 48, 'delete': 11, 'replace': 16, 'insert': 21})"
37,1,done in other file,negative,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","('... vn fgue littlfc tiewaser em belpel especially by the hol prdsfnce n jean reno .', {'total_alterations': 20, 'delete': 5, 'replace': 10, 'insert': 5})"
38,0,done in other file,negative,but it 's too long and too convoluted and it ends in a muddle . ,"(""t mi 's utoo long ap tn convtluted and it enwqs ik xe muidlhe y.n"", {'total_alterations': 24, 'delete': 7, 'replace': 8, 'insert': 9})"
39,0,done in other file,negative,a valueless kiddie paean to pro basketball underwritten by the nba . ,"('a vaueles kiddie pakan tuw pro asdketball underwritmen by ntphe b .', {'total_alterations': 14, 'delete': 6, 'replace': 3, 'insert': 5})"
40,1,done in other file,positive,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ","('p asimeple , bbu ogrioty dadd wll-actd ensemble drama thakg encmprasses a yowtent metarpor ffod woa uycountry still qdealeng wwts idqs fascist pijt w', {'total_alterations': 38, 'delete': 5, 'replace': 17, 'insert': 16})"
41,0,done in other file,negative,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,"('g. q boripnd parandne of lking hbjeads a technicamhl gibbwemish that wilhlw dog lttl e kabvance het linux causl l', {'total_alterations': 36, 'delete': 11, 'replace': 10, 'insert': 15})"
