id,label,result_original,result_attacked,original_text,attacked_text
0,0.16666999459266663,negative,negative,"Just one more collection of penis , breast and flatulence gags in search of a story .","Jut en mow colection fo pewis , sreabt da flmaulence sagg i earch f a stroq ."
1,0.583329975605011,positive,negative,"The attempt is courageous , even if the result is wildly uneven .","Th attempt y coeraguou , evun if the ratuls ps wiydll unveen ."
2,0.5,negative,negative,"If this movie belonged to a sorority , it would be called Beta Alpha Delta .","v ihs movie bglonee to a sorority , t sould t chled Bte Ahpla oela ."
3,0.5555599927902222,negative,negative,"Both stars manage to be funny , but , like the recent I Spy , the star chemistry begs the question of whether random gags add up to a movie .","ohm tart manage t e funyn , pb , liek et recns I pS , yh jtsr chemostry bse tet qucstion fw rhethew rankmo aggs ya i bo a movpe ."
4,0.36111000180244446,negative,negative,"She lists ingredients , but never mixes and stirs .","Ssh liits ingredients , uh never mixep da psirs ."
5,0.38888999819755554,negative,negative,"While the mystery surrounding the nature of the boat 's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .","huli tve rystemy suroundina teh ntaure d th boat s' maleiotdcn rfmies untrigiing eneugh c sustain misd intertse , ht ichure refses go offer much acuompanyig sustanance w the way ef cqaracterization , humo to plai old poccon uj ."
6,0.44444000720977783,negative,negative,The film 's implicit premise is that the faith of the Tonga people is in every way inferior to that of John .,eh film t' iupicim premise s thta txe fith f th anqo peple ss xn evey xa inirfoa x thta f John .
7,0.2777799963951111,negative,negative,Birot 's directorial debut ( she co-wrote the script with Christophe Honoré ) is n't so much bad as it is bland .,riBt ' diroctenial bedut ( hse coswrote teh cpiht wit Chrisotph Honork ) i nmt oo umc byd a i is land .
8,0.36111000180244446,negative,negative,"The creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is routine .","The crfaking , ruzty swi mkos a fine backdror , bu the ghsts ' caunting i routie ."
9,0.22222000360488892,negative,negative,Apparently kissing leads to suicide attempts and tragic deaths .,ppAareqty kissing daes t suivdie attempts dna mragic zetsh .
10,0.7638900279998779,negative,negative,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,Happil kof Mr qnh -n ghuth uhnapilz vf sih subjectx t- the inaisible hnd of eht mraketplace ertw a scrip ahtt fo human screenwrter ould vae hodep op math .
11,0.2916699945926666,negative,negative,Never mind whether you buy the stuff about Barris being a CIA hit man .,Never dim hedher ou euy the stlff uabt Brrris bgie a CIA tih nam .
12,0.38888999819755554,negative,negative,Too bad the former Murphy Brown does n't pop Reese back .,oq lad eht foemr Murphy rown eodq ut po Reees bak .
13,0.4027799963951111,Positive,negative,"Beers , who , when she 's given the right lines , can charm the paint off the wall ... ( but ) the script goes wrong at several key junctures .","reis , co , hwn sx s gcvin ts righk ines , can vhar tew pain off vhe wll ... ( uu ) eh stripc oes wroyg tj severaw ey jtncures ."
14,0.833329975605011,positive,negative,"It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .","I ' amazilgny ierleptpve i tis scbte , sutporpive tb unsentkental kol t tzh Marks famlly ."
15,0.3333300054073334,negative,negative,"It may be an easy swipe to take , but this Barbershop just does n't make the cut .","b may b na ecs kwie ts tek , ptu his farbershop jtsu doen n't arke et ct ."
16,0.916670024394989,positive,positive,Brilliant ! ',Brilliant ! '
17,0.4166699945926666,negative,negative,"Anyway , for one reason or another , Crush turns into a dire drama partway through .","Anyway , rof ne reaon m another , Crusc turs inw a ire ardm parway thorug ."
18,0.708329975605011,positive,negative,"As teen movies go , `` Orange County '' is a refreshing change","A ete ovies t , ` egngr County '' s a rifresheng change"
19,0.5972200036048889,positive,negative,`` The Mothman Prophecies '' is a difficult film to shake from your conscience when night falls .,t` he Mothman rophecjes y sq a difficult zli b shema froq yui ocnscience whn nvht pfls .
20,0.6111099720001221,negative,negative,"He just wants them to be part of the action , the wallpaper of his chosen reality .","eg juts want ehtm tv i prat q eh caton , th walppaer fo hi chses reality ."
21,0.6111099720001221,positive,negative,"On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .","O ht sugface , ti ss a olvezs-on-the-run rcme flrck , bt io sh a to ix cocmon with iiesiePcz ' ac keslowsKi bs earrier wrk , flims liek eh Double Liu jf Veronioue ."
22,0.541670024394989,negative,negative,It 's a trifle .,tI s' a tirfe .
23,0.541670024394989,negative,negative,But what about the countless other people who 'd merely like to watch a solid tale about a universally interesting soul ?,wut hwa abio jh counless tjeh people ohw dz merely liw t wttah a solid tega aboqt a unilersajvy interesting siu ?
24,0.583329975605011,negative,negative,"Taken purely as an exercise in style , this oppressively gloomy techno-horror clambake is impossible to ignore .","kaTn pyrlu i ha eiercxse i sytz , tis oppressivels gloomy recno-hotror kqmbale si impossibpe nt ignohe ."
25,0.8055599927902222,positive,negative,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .","Dazzying ac eucar-wset , a blast f shlalow magnificence thaa oyly smx , siadal , na a hcorus xine of augerons damsels nn derirl ."
26,0.26388999819755554,negative,negative,It 's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,o s' hrd ot tea iith aa eet irashcng nd nabggng heer tme salpsmanshie enq and thh moei bgegns .
27,0.38888999819755554,negative,negative,Screenwriters Scott Abbott and Michael Petroni have turned Rice 's complex Akasha into a cartoon monster .,Scrweneriers Sott Abotv an Mehail Petroi ahpe tunred Rih ' omplex Akapha ito a cartoof eonstmr .
28,0.25,negative,negative,"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .","... scrhap eh heavdest , ots eoyess fovie evem adr about giat dragos aaking oevr te wdlo ."
