id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,positive,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('t n bjecionable o ll lm ; i mrey lak everything exce gd inetions .', {'total_alterations': 21, 'delete': 21, 'replace': 0, 'insert': 0})"
1,1,positive,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('o a enath h srfac , th recnfigred ta sk sturbing quetons abo hoe higs e expt rm miliay epics .', {'total_alterations': 35, 'delete': 35, 'replace': 0, 'insert': 0})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a um oie th um characte don um hins d o av o b rall mb t o s whe hi i gig .', {'total_alterations': 40, 'delete': 40, 'replace': 0, 'insert': 0})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""h secia effes d ay scee o weightlesnes lo s oo o bete hn i e oginal , whl e ocar-winnng oun a jae hone ' ousng sco ke go u f h het aui ysem ."", {'total_alterations': 64, 'delete': 64, 'replace': 0, 'insert': 0})"
4,0,negative,negative,teen movies have really hit the skids . ,"('en mvis ha really i e kid .', {'total_alterations': 12, 'delete': 12, 'replace': 0, 'insert': 0})"
5,1,positive,negative,a quiet treasure -- a film to be savored . ,"('a que treaue - a il o e svord .', {'total_alterations': 11, 'delete': 11, 'replace': 0, 'insert': 0})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""vllenuve seds o mc ie walling i ib ' gnric angst ( hee r a o o sho o r gzig u wiows ) ."", {'total_alterations': 36, 'delete': 36, 'replace': 0, 'insert': 0})"
7,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('i a car t spe , a unke an omntic comdie , t os n lienat eitr gndr i h audiee .', {'total_alterations': 34, 'delete': 34, 'replace': 0, 'insert': 0})"
8,1,positive,negative,"though only 60 minutes long , the film is packed with information and impressions . ","('houh on 6 miuts lg , e fl s pced it infrmtion n impresios .', {'total_alterations': 24, 'delete': 24, 'replace': 0, 'insert': 0})"
9,1,positive,negative,dense with characters and contains some thrilling moments . ,"('ese ih charctes d contan me trillin momes .', {'total_alterations': 16, 'delete': 16, 'replace': 0, 'insert': 0})"
10,0,negative,negative,too much of the humor falls flat . ,"('too uh o h humor all flat .', {'total_alterations': 7, 'delete': 7, 'replace': 0, 'insert': 0})"
11,1,positive,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"('i s a or y a rtst s i ontrl f bh i edim d i msage th e a mproise ie a azzmn .', {'total_alterations': 36, 'delete': 36, 'replace': 0, 'insert': 0})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","('t s n oginal , n , robe o h elent o surrie , i de t ha n huge lahs i i toy of rresponsble co h lv t py prnk .', {'total_alterations': 47, 'delete': 47, 'replace': 0, 'insert': 0})"
