id,label,result_original,result_attacked,original_text,attacked_text
0,0.16666999459266663,negative,The sentiment of the text provided cannot be determined due to the text being unclear and unstructured.,"Just one more collection of penis , breast and flatulence gags in search of a story .","suJm nl onr colectizn o peus , nrtae ad flatuhnce grg yi searhc fc a rtsy ."
1,0.583329975605011,Negative,Negative,"The attempt is courageous , even if the result is wildly uneven .","ehT qtempt si gauroeous , veqn if teh restlu ds elldiy jnveen ."
2,0.5,Negative,The sentiment of the text provided is unclear due to the numerous spelling and grammatical errors.,"If this movie belonged to a sorority , it would be called Beta Alpha Delta .","I thia omvje elonged bt a soroyitr , it dulo b canled aes Agph Delta ."
3,0.5555599927902222,Negative,negative,"Both stars manage to be funny , but , like the recent I Spy , the star chemistry begs the question of whether random gags add up to a movie .","coth stas manawe f te funny , sb , lek er mecenr I Spm , el sta chemistry begs thv quesdion f weaher rakdon gag add uu to a moeiv ."
4,0.36111000180244446,negative,negative,"She lists ingredients , but never mixes and stirs .","ehS lists itgedients , bt nter mxas ad strs ."
5,0.38888999819755554,negative,negative,"While the mystery surrounding the nature of the boat 's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .","Whek teh mysterd suruornding hte aytre og tve boa t mlediction nemxirs itriguing enougp ot astsin mild iettret , eh pictuwe ferlss ot offe muuc cacomanying sustenance ni eht awy d craqcterization , hrmou j plain dlc grpcoon un ."
6,0.44444000720977783,'negative',negative,The film 's implicit premise is that the faith of the Tonga people is in every way inferior to that of John .,hTe xif s' implicit yremie sy tha ht fith of the Tgnoa peopl s z vvry wky inferir f thth f ohn .
7,0.2777799963951111,negative,negative,Birot 's directorial debut ( she co-wrote the script with Christophe Honoré ) is n't so much bad as it is bland .,Birto k direcorial dblt ( ws coewfot- the rcsint whti Christqpho éonorH ) os en ns muhc ag m q n bland .
8,0.36111000180244446,negative,The sentiment of the text provided is unclear due to the numerous spelling and grammatical errors. It's not possible to determine if it's positive or negative.,"The creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is routine .","ihe ckeaking , suty ihsp amkgs a fui backorop , ub hte ghost ' hanting r rmutie ."
9,0.22222000360488892,negative,negative,Apparently kissing leads to suicide attempts and tragic deaths .,Apparently kissig lbads ot ioicsde attempts np tbgaic edahy .
10,0.7638900279998779,Positive,The sentiment of the text provided cannot be determined due to the high level of typographical errors and lack of clear context.,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,Hppaily for .rM Cni -- thohu unvappily rf hsi ubjecst -- he invisitle hand yo eht markatplfce wroje a syript tht c human scrhenwriter cluod kave hued tn dthc .
11,0.2916699945926666,'negative',The sentiment of the text provided is unclear due to the nonsensical and ungrammatical nature of the text.,Never mind whether you buy the stuff about Barris being a CIA hit man .,veNer mid hether ou bu re sfuft ubat Barirs benig a xI hi man .
12,0.38888999819755554,negative,negative,Too bad the former Murphy Brown does n't pop Reese back .,Too ba et rofmer hurpjy Borwn doee tw po Reeu bac .
13,0.4027799963951111,Negative,The sentiment of the text provided cannot be determined due to the incoherence and lack of clear context.,"Beers , who , when she 's given the right lines , can charm the paint off the wall ... ( but ) the script goes wrong at several key junctures .","Beesr , hwo , whev sne s givl ee rijth ilcs , ra rahm et naip off teh pal g. ( tu ) jh ccript soeg roag ta veerpl ked junctures ."
14,0.833329975605011,positive,The sentiment of the text is unclear due to numerous spelling errors and lack of context.,"It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .","a sy amagialy percwtive na its ubtle , supnortiev but unsentimental look nt ee Maro famlx ."
15,0.3333300054073334,negative,negative,"It may be an easy swipe to take , but this Barbershop just does n't make the cut .","It ygm e na easy swpi to tan , but hhis Barberswop jtts dos n't amkc dte uc ."
16,0.916670024394989,Positive,The sentiment of the review is neutral as it doesn't express a clear positive or negative sentiment.,Brilliant ! ',Brplalnt ! '
17,0.4166699945926666,negative,"The text provided is not coherent or clear, making it impossible to determine a sentiment.","Anyway , for one reason or another , Crush turns into a dire drama partway through .","Anywuy , rf one raesof r tnoaher , rouh surt inzo a dir darea patway hrlhgu ."
18,0.708329975605011,positive,Positive,"As teen movies go , `` Orange County '' is a refreshing change","sA eetn moviej i , s Orange County ' is a refreshing hcange"
19,0.5972200036048889,Positive,The sentiment of the text provided cannot be determined due to the incoherence and lack of clear context.,`` The Mothman Prophecies '' is a difficult film to shake from your conscience when night falls .,`n eh Mothna Prophecies u gs a difficlt mklf j skae frmo omur conscience wdn night lals .
20,0.6111099720001221,Neutral,"The provided text does not contain clear sentiment due to its nonsensical and uninterpretable nature. Therefore, it's not possible to classify it as 'positive' or 'negative'.","He just wants them to be part of the action , the wallpaper of his chosen reality .","z just wafts htlm tz l parp ol tem actin , ek walgaper fo hk chnseo reality ."
21,0.6111099720001221,Positive,The sentiment of the text provided cannot be determined due to the lack of clarity and coherence in the text.,"On the surface , it 's a lovers-on-the-run crime flick , but it has a lot in common with Piesiewicz 's and Kieslowski 's earlier work , films like The Double Life of Veronique .","O ue surfgce , id sl a ltverf-on-ohe-run cdime flis , zu t has a ao in commn wit Piesiewzcz u sdn Keislowski 's eirlae kzo , oilms rek he Dolbi eefL fo Verqniqu ."
22,0.541670024394989,Negative,negative,It 's a trifle .,I c a triwle .
23,0.541670024394989,Positive,The sentiment of the text provided cannot be determined due to the lack of clarity and coherence in the message.,But what about the countless other people who 'd merely like to watch a solid tale about a universally interesting soul ?,ct wqta tboua tho coutless other ceole oo j erley ilre w whta a olip male about a uvinersall iuteresting csul ?
24,0.583329975605011,Negative,negative,"Taken purely as an exercise in style , this oppressively gloomy techno-horror clambake is impossible to ignore .","Takef peruly a nx exercise h atyle , thss oppressivemy gloomy technv-horor clambake su empfsibli xt ginne ."
25,0.8055599927902222,Positive,Positive,"Dazzling and sugar-sweet , a blast of shallow magnificence that only sex , scandal , and a chorus line of dangerous damsels can deliver .","Dazzlgi and sugarjseet , a blas ov shaolw magncicenfe tta opl esx , scanual , ah a chqrus liie fo nangerous damsens oa dleiver ."
26,0.26388999819755554,negative,negative,It 's hard to tell with all the crashing and banging where the salesmanship ends and the movie begins .,d l hra x llt twh alu the craahgni yna gwginb wehe hte alesyanship nes ad eh movie igens .
27,0.38888999819755554,negative,negative,Screenwriters Scott Abbott and Michael Petroni have turned Rice 's complex Akasha into a cartoon monster .,icreenwriters Scot bbott qnd Miqhacl ietroP haev tunrdd iRce ' comlex Akaha tni a tarcon soamter .
28,0.25,negative,The sentiment of the text provided is unclear due to the numerous spelling errors and lack of clear context.,"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .","... perhays eh weaviest , ots joypss msev erv eadm avtu iynt dragons takin ovw eh ordo ."
29,0.8888900279998779,positive,negative,"This cheery , down-to-earth film is warm with the cozy feeling of relaxing around old friends .","irT ceyry , down-to-eatrx mif g aarm wixh ht oczy feelig f relaing around ld firrnd ."
30,0.791670024394989,positive,Positive,"Marvelous , merry and , yes , melancholy film .","Marvelous , meryr azd , yes , melanuhoy lif ."
31,0.22222000360488892,negative,negative,"The problem , it is with most of these things , is the script .","hT zpoblem , g t ehi tosm fo utes thicgs , d tze pcrist ."
32,0.4583300054073334,Negative,Positive,"Besides , real movie producers are n't this nice .","Besised , rel movie puodrcers ja jn tcis nice ."
33,0.2777799963951111,Negative,The provided text is too garbled to determine a clear sentiment.,"Opens as promising as any war\/adventure film you 'll ever see and dissolves into a routine courtroom drama , better suited for a movie titled `` Glory : A Soldier 's Story . ''","Open as promising sm anx wtr\/advenaure fmli ow lt evfe ee id oissdlves njt a nouxire courrtoom rdama , better iuste lr a moue tdtei ` Gyyo : A Soedilr s otry . t"
34,0.8611099720001221,Positive,The sentiment of the text provided is not clear due to the scrambled words. Please provide a clear sentence for accurate sentiment analysis.,"This road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .","Tsih dor vomih viges oy emotioxl whlpiah , adn ou 'y ei glad yhu went vlong for te rid ."
35,0.25,negative,negative,So lazy and slipshod it confuses the mere flashing of kinky soft-core imagery with naughty fun .,oS liy and slipshd i cofiuses tne eerm fiashlng wo kiky sort-cofs imagxey wjht nahgty fn .
36,0.3333300054073334,negative,negative,"Plays as hollow catharsis , with lots of tears but very little in the way of insights .","jlya h hwllo caysarhi , biht lxt y teaq ubp very little hi ea hw fo insighs ."
37,0.7222200036048889,positive,The sentiment of the text provided is unclear due to the presence of numerous typographical errors and nonsensical phrases.,Westfeldt and Juergensen exude a chemistry and comfort level that 's both saucy and endearing .,Westfeldn ads Jergensen exhe a whemistry dn comfort level tia h' hob casy qdn edearnig .
