id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('oet kn objecvipnable mr dvwl iilc c pm mereyi ojcks evezytqing except gmwd intentpoos v', {'total_alterations': 28, 'delete': 0, 'replace': 28, 'insert': 0})"
1,1,positive,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('umt fav benegth dfe suhface m bmis leconfigured cale atks disturbunk kuestioos abocw those khitgs sa gxpqct hrnm milicarc qpccs v', {'total_alterations': 40, 'delete': 0, 'replace': 40, 'insert': 0})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a delb norie wtth dueq chalacteru dnxng dqkb rhingv anj xod davp si bz rjhlly dums qon tj sbe iherj thif im gosnc t', {'total_alterations': 46, 'delete': 0, 'replace': 46, 'insert': 0})"
3,1,positive,negative,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('tqe spudial efierts and nafy sceues om weightleysnest lelk ks gmxd sr bjttex tban wh sse orxginal y woihe thx oscar-nvnning voknd ave vamex hornhe as xouding ssofe wakv goyd lke ob bhe hcftd apdio syhtym d', {'total_alterations': 72, 'delete': 0, 'replace': 72, 'insert': 0})"
4,0,negative,negative,teen movies have really hit the skids . ,"('qeew movrgs have rgaldy hpn xse skxds l', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
5,1,positive,negative,a quiet treasure -- a film to be savored . ,"('a quier treaszre -u z fisx qy bn wavorud u', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"('villeneavt sptjds txq mrch tfye walhowibg ii yibm ig genezrc vkgst g thenq are m mod oo sohts zf hps gabins udt winbowp o l', {'total_alterations': 48, 'delete': 0, 'replace': 48, 'insert': 0})"
7,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('tv hij cxarz te starz v jjd unawke mamy rgmantxc somedles p wt ejes nod alihnape eitoer seqder iy thg audiencf .', {'total_alterations': 42, 'delete': 0, 'replace': 42, 'insert': 0})"
8,1,positive,negative,"though only 60 minutes long , the film is packed with information and impressions . ","('thongt only mu winutes kong g dhx frlm qg packdh aith qnhormation nmd imjressrons n', {'total_alterations': 28, 'delete': 0, 'replace': 28, 'insert': 0})"
9,1,positive,negative,dense with characters and contains some thrilling moments . ,"('dense wkte characttrs ant contaiqu yome thdillihg iomevts a', {'total_alterations': 16, 'delete': 0, 'replace': 16, 'insert': 0})"
