label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('bop iy objectionable tr dull film ; ut mfrewy lacks everything ezcept gonm intentions .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not ugr bencath rle syrface d this reconfigsren tfge ayks disxurming questions hbout toose thinwd we ixpeet from mmliiary ewiss .', {'total_alterations': 30, 'delete': 0, 'replace': 30, 'insert': 0})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('f dumb novir sifh pamb characters dhinq dumb leings ahy rob mavs ku be really dush svt tp gek wpepe this xs going t', {'total_alterations': 34, 'delete': 0, 'replace': 34, 'insert': 0})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","('dha special effetrs anm many scenes zm weightlessness liok as qood uu bester than rt the original g hhiae the oscar-winning sound and jfres horneb bg rfising svjre mahe good fbe of the hefty audie shstcm l', {'total_alterations': 42, 'delete': 0, 'replace': 42, 'insert': 0})"
0,teen movies have really hit the skids . ,"('terz movies xave really hsc the snidc w', {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
1,a quiet treasure -- a film to be savored . ,"('h quiet treasure -u v jalm to ae savkrgd .', {'total_alterations': 12, 'delete': 0, 'replace': 12, 'insert': 0})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villenauvg spends too mugh time wakzowing in bgbi 's grnerxc hnglt ( there vfe a yot of shoge of qor gazing out windows ) h"", {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it hlx chhrx to spsrp z fhd tnlike many romancic conedieh , ig goks not alibncte either gender in the audnente r', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('though onmb 60 mjnutxs long j the film is oavked vits information ala cmprxssions r', {'total_alterations': 16, 'delete': 0, 'replace': 16, 'insert': 0})"
1,dense with characters and contains some thrilling moments . ,"('dense with characters aso contains some thrilling mmmenos .', {'total_alterations': 4, 'delete': 0, 'replace': 4, 'insert': 0})"
0,too much of the humor falls flat . ,"('tox mfck oa ghu cumoe falls flat j', {'total_alterations': 12, 'delete': 0, 'replace': 12, 'insert': 0})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"('ij ua a whre by yd attivt so in cinjrol ju drth hyj medkum rrd his musjage that he can iaprovioe like a jczzmzn j', {'total_alterations': 30, 'delete': 0, 'replace': 30, 'insert': 0})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""bf 's nvv original q aad , rybbbd tr pfe ejezent sp surprise f it dpeq o't jjve ani huge lamgha in its ncory sy ijrespopsible coeb who love to ploy pranks ."", {'total_alterations': 40, 'delete': 0, 'replace': 40, 'insert': 0})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('x swashbucklicg tale je xooe u lztrayal , revenge igd above zfl , faiha .', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","('vn interesting story tibh d pertinent u cinematically unxwue s message k told fairly wegt ane scored to periectioj g i kovnd myself struggling hn put my finger bx thaz clubive vh wossing ttinq . cb', {'total_alterations': 40, 'delete': 0, 'replace': 40, 'insert': 0})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('thc man shom lhysian fields yq a pyld , bliss-zeks work trvt groans nhong thinkinc itself some important comment yf how life throws us skmy bsguzling cdjves .', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('aerceptfve cw ism vixjon rf nascent industrialized wodld pvlitims as x new aku form , rit nas toi cbdnky , didactic and saddled wouh scenes thdw seem simply an ezl fat you twts moyle n', {'total_alterations': 44, 'delete': 0, 'replace': 44, 'insert': 0})"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('ik padz me want to hrench my dyis ouo sf my heax and toss thec kc the kcrben .', {'total_alterations': 20, 'delete': 0, 'replace': 20, 'insert': 0})"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('p mostxsee foq the davra mamet enthusiast and for anhjne wjy aqpreciateq inteiligznt , stylish mnviemaning .', {'total_alterations': 20, 'delete': 0, 'replace': 20, 'insert': 0})"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('the wticht of tye piece b the unzreing profqsuionalism of the chilly prlducaion m and wme faszination emreddeb in jce ljrid topic prele recomjnndation wnoush .', {'total_alterations': 30, 'delete': 0, 'replace': 30, 'insert': 0})"
1,puts a human face on a land most westerners are unfamiliar with . ,"('puts f human face vt o ramd zost westerners kre unfamibiai with .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
1,"minority report is exactly what the title indicates , a report . ","('miaoriny report ia exactly jhvt the title inhacates a a rezdrt .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good car cmtses s gapat fight scbues , vne p distinctive blend of eurghean , amervcaq aaf asian influences .', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a gorgeous , himb-spirited musical fjom india that exquisitely blends pusoc , dance , song u and high droma s', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
0,"not only unfunny , but downright repellent . ","('nxf wnty uncuuny y but downright repelhept .', {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('( lawreice bxunyes ) all boer the stage w dancing , running f swyating , mopping tiy face and generagty displaring tgg kucky tajqnt thav bjoughj hzi faye is the yirdt place d', {'total_alterations': 38, 'delete': 0, 'replace': 38, 'insert': 0})"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""does n't uffrr much beqidez grmb soullessiesz j rjunthy wanguagf cny u series hd xrutao swr pieces .xg that raise the ujr on stylized snrsen aiolence ."", {'total_alterations': 32, 'delete': 0, 'replace': 32, 'insert': 0})"
1,"a poignant , artfully crafted meditation on mortality . ","('y powgnavt w artfully crofmed mekikation on moryauity .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
0,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","(""as m chink wlickx ' go , ohik one is pretty miserable h retortbng to string-pulling latmer than lebitimate character development and intellvvent ptosting k"", {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
1,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"('nm ji one heck ik b characjer study -- nmj oe hekrlt zo davies hut om ahe uninye relationship between trkm .', {'total_alterations': 28, 'delete': 0, 'replace': 28, 'insert': 0})"
0,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"('it ws hasperld mz k lifeteme-chahnel khpd sp plot and a qkad sctress who ih cqt of her depth m', {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
1,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","(""what 's surprising about fulw frontal is that despite its osort self-awarencsu y parts of xue moyie still manakm qu mrrak payt lhe artifice znz thorobghay engage dou r"", {'total_alterations': 32, 'delete': 0, 'replace': 32, 'insert': 0})"
1,i just loved every minute of this film . ,"('y jusi lveed evorn minxth db this pilm q', {'total_alterations': 16, 'delete': 0, 'replace': 16, 'insert': 0})"
1,a woman 's pic directed with resonance by ilya chaiken . ,"('d moqan uo eic directed nith resonance bb ilsi chaiken .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
0,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('w by-the-mgmbers patient/doctor pic that covers all the isuam grewnd', {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
1,michael gerbosi 's script is economically packed with telling scenes . ,"(""michael gereosi 's script jk ecouomucally packed with telnipg ssenps ."", {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
1,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","(""there 's somathiny auspzcioud l qnd dcring o tfo k about che frtfstic instinct qqat pushes u majority-oriented director lice sjefen spielberq tp kollog a.i. with this chollenging report sw lvmble gr unpedve mhh mojoritb y"", {'total_alterations': 50, 'delete': 0, 'replace': 50, 'insert': 0})"
1,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","('... a fln wittre timegaswer , helped especially ey the cool presence of jean nene .', {'total_alterations': 10, 'delete': 0, 'replace': 10, 'insert': 0})"
0,but it 's too long and too convoluted and it ends in a muddle . ,"(""mdt it 's tya long onl eeo convolutun and wa ehns io z muedll a"", {'total_alterations': 22, 'delete': 0, 'replace': 22, 'insert': 0})"
0,a valueless kiddie paean to pro basketball underwritten by the nba . ,"('a valueless kiddie palan to prb basketball unaerwritten ag twz nwl .', {'total_alterations': 12, 'delete': 0, 'replace': 12, 'insert': 0})"
1,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ","('u simbae , but gdittw and welp-actef ensemble dkaxa that encoppysses a potvnt metaphor sot a cobnkry still dealili wcth itc fascist past d', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
0,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,"('iu. o boring parads mf talkgvg seadv dnh cechnichl giblerism that will do little vw advakze whm linuo cause t', {'total_alterations': 28, 'delete': 0, 'replace': 28, 'insert': 0})"
1,"if you 're hard up for raunchy college humor , this is your ticket right here . ","('iu you kra yaod uf fur raonchs cpllele homgr j this is hofr tjckit cfght here j', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
0,the problem with this film is that it lacks focus . ,"('typ problym wisk this mvlm if that wf lacab socus x', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
0,"an absurdist comedy about alienation , separation and loss . ","('uj absurdist cwmeky about alienttiwn , separation and uoxs .', {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
1,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ","(""r coda is eyemy sense v tpc piaoahet caqm splits time vebween s minute-by-minute account of vwe hkitish court 's extradition chess gamc and the regime 'l talking-heak survivors n"", {'total_alterations': 30, 'delete': 0, 'replace': 30, 'insert': 0})"
1,"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . ","('t t r his beguilsng belgian qably , very msah its onn drolw and delitaqe little film , ras some touwhgng ghikgs fp say about what ij iipkrtant in life and why u', {'total_alterations': 32, 'delete': 0, 'replace': 32, 'insert': 0})"
0,it all feels like a monty python sketch gone horribly wrong . ,"('uw all feelw like o mojdy python suetck gone hurrnbly wrong g', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
1,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ","(""awesofe creaturef g breathtaking scejlry , snw eblc battle lceneh asd up to another ` spectacular stectacle q '"", {'total_alterations': 20, 'delete': 0, 'replace': 20, 'insert': 0})"
0,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","('on the whole , the mfxie backu wii , feeving awr baliekability to compensfte for its iecmssant coarseness and batklity .', {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
1,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ","('based kq a desilichly witty tcrspt gy heather mcgowin and niels mueller e the film gets great laughs , bgt nnzer at tuu exrnnse of ibz maaracters', {'total_alterations': 24, 'delete': 0, 'replace': 24, 'insert': 0})"
0,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ","('dragonfly hzs no atmosxhzre , iq jension nh nothing but costner r fpjiling away .', {'total_alterations': 14, 'delete': 0, 'replace': 14, 'insert': 0})"
1,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","('martin and barbara arv complex characters b- sohenimes tender , sometimuv angxy u- bnd tue zelicatd jerfermances bz sven wollter ald viveka seqhahl hake rhzir hopes and ftubtrations vivid e', {'total_alterations': 34, 'delete': 0, 'replace': 34, 'insert': 0})"
1,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ","('pye vitaliup bf the acporz geeds the intensity vf jhb fzlc iigh , zven av the strafings blend dogetser a', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
1,there 's a wickedly subversive bent to the best parts of birthday girl . ,"(""theem 's w wickedly subversive xenm wa the btst pmrts km birtcdfy girl h"", {'total_alterations': 18, 'delete': 0, 'replace': 18, 'insert': 0})"
0,"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ","('once ( yiv m begins to pberplay the shock dacnics rnf bait-and-tackle metajhors , ygd may dzcude it eo too rijh b wriye tt par for a shimmering picpurk postcard .', {'total_alterations': 30, 'delete': 0, 'replace': 30, 'insert': 0})"
1,"an entertaining , colorful , action-filled crime story with an intimate heart . ","('di entertaining k colbrfkl o actizn-filhed cdimo stwiy wyzh nn intimate feaut a', {'total_alterations': 22, 'delete': 0, 'replace': 22, 'insert': 0})"
1,it deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons . ,"('it dbnerves te fk seei bm anyone with nken a pnssing interest in ahe lvwnts yhapgng lhr world befond thecr own horizons .', {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
1,an exquisitely crafted and acted tale . ,"('an exquisitely crafted cnf aciid hqle f', {'total_alterations': 8, 'delete': 0, 'replace': 8, 'insert': 0})"
1,"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . ' ","(""looking aristocratic r luminous tzt careworn hv janc hamfltoi 's eoemwlary costumes b rempling gihos a perfwrmancc that could not eh improzud upon . s"", {'total_alterations': 26, 'delete': 0, 'replace': 26, 'insert': 0})"
0,"schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character . ","('schaeffer hjm to aind some ioqk on wstch to bavg kis persistently uswltss movies g and it mpghk ra well ud the resuseitatcon of tqw middxe-aged character .', {'total_alterations': 28, 'delete': 0, 'replace': 28, 'insert': 0})"
