id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('nkt an objectionable or dull filjmv f it merel lacks evverythitng except good inteniows yd', {'total_alterations': 16, 'delete': 4, 'replace': 5, 'insert': 7})"
1,1,positive,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('shot far benatlh hue urace , ts recovnfigurqed tale asks dsurbing questions abow those things v expft sfrvm ilitry femics .', {'total_alterations': 30, 'delete': 14, 'replace': 8, 'insert': 8})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a umbu movhee wgt dumb charamctews voinh dumb things cafnd yvu have to be feally umw n p see where this is gog .', {'total_alterations': 26, 'delete': 11, 'replace': 7, 'insert': 8})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""the special effects au max scenes ot weightlessness lok us good or bettder hhan in thleb original , wmle the oscar-winning smoud and tame horner 's rousing soae make grd uj lxf the xhefxty audio pycstem ."", {'total_alterations': 34, 'delete': 11, 'replace': 13, 'insert': 10})"
4,0,negative,negative,teen movies have really hit the skids . ,"('teen movies have brealls hit the skicf .', {'total_alterations': 4, 'delete': 0, 'replace': 3, 'insert': 1})"
5,1,positive,positive,a quiet treasure -- a film to be savored . ,"('a uiwt treasure -- a fil tz dbep ssvord .', {'total_alterations': 10, 'delete': 3, 'replace': 5, 'insert': 2})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneuve spends too much timvq wallowing in bixbp m' glnersic angst (hx there rve a lnoto zf shotbf q her gwzizg out wwndow l c"", {'total_alterations': 30, 'delete': 6, 'replace': 12, 'insert': 12})"
7,1,positive,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('j has charqmm to xpar , and unmikek mnu roantico comxediws y in djeds not alienate either gezer in the yaudiencve .', {'total_alterations': 24, 'delete': 7, 'replace': 7, 'insert': 10})"
8,1,positive,negative,"though only 60 minutes long , the film is packed with information and impressions . ","('though ny 6r minutes eowng rq the film bs packed wwthm information and impressions .', {'total_alterations': 12, 'delete': 4, 'replace': 3, 'insert': 5})"
9,1,positive,positive,dense with characters and contains some thrilling moments . ,"('drnqse wgith characers krnd contains some thfriclling momgntsd .', {'total_alterations': 12, 'delete': 1, 'replace': 5, 'insert': 6})"
10,0,negative,negative,too much of the humor falls flat . ,"('tv ymjuch of the humor fas flat w.', {'total_alterations': 8, 'delete': 3, 'replace': 2, 'insert': 3})"
11,1,positive,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it t'ks a ork by annj artist so hizn bconthol of both his medezum and his message that hevt can impromuse like o jbzzan ."", {'total_alterations': 20, 'delete': 3, 'replace': 6, 'insert': 11})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""i 's jno original , wan , roed ot e element i surpxie zb it ces n't pavu adr hsue laughs dzn its socy of irresponsible cgopd bhox loev to play ranki h."", {'total_alterations': 40, 'delete': 15, 'replace': 15, 'insert': 10})"
13,1,positive,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('no swashbuckling tale f ovek c, betrayal , revtnenge ng above all , faith s', {'total_alterations': 14, 'delete': 3, 'replace': 6, 'insert': 5})"
14,1,positive,negative,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""ao interesting sctjry qitm a pwrtibnent (vd cinematically univquet ) mrhsage , tyoli fairly mefl avund scged nt perfection x i wfqound myself struggling to put ym fimgeor on that elusive `` missing thing mi y''"", {'total_alterations': 38, 'delete': 5, 'replace': 15, 'insert': 18})"
