id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"it 's slow -- very , very slow . ","z v svow z sry , vexy szw ."
1,1,positive,negative,one of the more intelligent children 's movies to hit theaters this year . ,wn f tr mro intellgent dhilcaen sk komis to hit theaters this yet .
2,1,positive,positive,"entertains by providing good , lively company . ","erlentans b prdioing gaod , livye covany ."
3,1,positive,negative,"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . ","th sort uo mlf tta mnse m msis hichcock , buz ayso fdl emitistic nht theze 'x oep fom popular cinda ye ."
4,0,negative,negative,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,fjels tol formulaic nd oo iamflar to roduce hd tarnsgressive thrlils fe elray undlrgrund awrk .
5,0,negative,negative,"movie fans , get ready to take off ... the other direction . ","movei fans , gd raody on tak ff e. he othre ridecion ."
6,1,positive,negative,huston nails both the glad-handing and the choking sense of hollow despair . ,hunos nasli obxh eht glad-handing nad hxe hoking sense c hollow despair .
7,1,positive,negative,"it is amusing , and that 's all it needs to be . ","ti i anustmg , anz aht ls gll tv nehds f eb ."
8,1,positive,positive,"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . ","jose calpanelma delivrs a loosely outabiographical lrot brusehd wdh settkmennalty qu rimming iwtb gentl hrmou , bittesrwet patos , bad myrci tomenmi that linger like snashots q oemmr ."
9,1,positive,negative,jones ... does offer a brutal form of charisma . ,zone .. ces ofefr a bruab fvrm z charisma .
10,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","ti ps chyrm od dprae , za unlwke mya romantic coleiem , te eos go sleenti ehtier gnder ih thj auwience ."
11,1,positive,negative,"even in its most tedious scenes , russian ark is mesmerizing . ","eveh i ijt mzst txdies swees , russina amk s mesmerizisg ."
12,1,positive,negative,reggio 's continual visual barrage is absorbing as well as thought-provoking . ,reiggo 's continual isual blrrage ms asorginb as wll w thougkt-provohing .
13,0,negative,negative,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","thi script kikc ui , anv qrm hlrtay s istended pace ak dootcfraggng rmythms follow ."
14,1,positive,negative,an exquisitely crafted and acted tale . ,na xxquisitly rtfavd nd cged ealp .
15,1,positive,negative,"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . ","thos tentz eature t a big edl , indeed v a leat hj third-best , nd yambe nbe a hocs bacve ut previus rpnner-uu , acholis meyre k ats trek v : ht undisocvhed comntry ."
16,0,negative,negative,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","rgfen mght wanf t ahng tnr lha sk maks , na robery may v teh lqo ga o pyb ro ihm xent prject ."
17,1,positive,negative,"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . ","ofr anyonl unfamiliar htw pectanosal prackisec fn glnrae nd theaticial phenomenn z elz hooss v iartpcular , i d' an eye-opener ."
18,1,positive,negative,"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ","we vdry defintion f et ` lpls ' mevio , ju ti sp a god stenping sone fro direcxor spreccr ."
19,1,positive,positive,a subtle and well-crafted ( for the most part ) chiller . ,a subtle dn well-crated ( frk ht som twp ) cihller .
20,0,negative,negative,"prurient playthings aside , there 's little to love about this english trifle . ","purxent playthings adise , there s little it mle about thws englis frite ."
21,0,negative,negative,"a better title , for all concerned , might be swept under the rug . ","a beger titel , for lkl cencored , dight be swept unde th uug ."
22,0,negative,negative,"for starters , the story is just too slim . ","ro starter , thb stor di utd to sim ."
23,0,negative,negative,"and the lesson , in the end , is nothing new . ","and et lwsson , ni eht ne , n toning pw ."
24,1,positive,negative,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","a swahbuckling tcle o lve , tjbrayal , revnege dc sbova ld , afiuh ."
25,1,positive,negative,"a fitfully amusing romp that , if nothing else , will appeal to fans of malcolm in the middle and its pubescent star , frankie muniz . ","a fitfulle amtsig omi that , if npohng esl , wrll appeal o fnas f amldolm p te jidle dna syi pubescent sak , frinkae mzniu ."
26,0,negative,negative,just one bad idea after another . ,ruts oe da ied afrit anoxher .
27,0,negative,negative,"the humor is forced and heavy-handed , and occasionally simply unpleasant . ","teh huor hs forced anq hecvy-handed , daa qccasioallo smply unpleasant ."
28,0,negative,negative,"if director michael dowse only superficially understands his characters , he does n't hold them in contempt . ","if dtrehior imcfel goesw noc quierfpcially undenstardy st chamacters , eh eods ts houd mew n ctnlempt ."
29,1,positive,negative,"for movie lovers as well as opera lovers , tosca is a real treat . ","foh iovd loves sv ell sa otera rovelc , tosla h a rgal tmar ."
30,0,negative,negative,hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,iht adn xss i ac sa tp comeyy goe in a iq le ' msis z eh ta f stor .
31,1,positive,negative,"though only 60 minutes long , the film is packed with information and impressions . ","tohrh yln w6 minutes ljg , hve eilm j dckea itv informitaom adn yipressmons ."
32,1,positive,negative,"good film , but very glum . ","gok icm , mb very lgm ."
33,0,negative,negative,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . ,t ' oot bam ahot cht helpin hnd g ussu o stir cis ingredienks is aosq a heav nge .
34,0,negative,negative,"it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue . ","it s' another satwe , kill-by-rumbens ficu , coeplmtv cth blade-thin characters dga terrile , pun-laden dialugae ."
35,1,positive,negative,"exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling . ","exquisitdy oanced n mdo itcd naw dhalogue , his chrmbea dmla u suiebry aetc yb tze deply apealing etearn beuquwt da he gillinh btu iqbe human beilrng ."
36,1,positive,negative,"so , too , is this comedy about mild culture clashing in today 's new delhi . ","j , too , os tsh coley xout mlg culture ckashing in tday es eo ehni ."
37,1,positive,negative,"offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends . ","foerb mcrh t enjoy ... md a to ti blm evo j herms fg evl , lyolty adn yht nutre mo stayign frtends ."
38,0,negative,negative,"but the power of these ( subjects ) is obscured by the majority of the film that shows a stationary camera on a subject that could be mistaken for giving a public oration , rather than contributing to a film 's narrative . ","ubt nt powar of sehe ( subjects ) pi obscurde yp tem oamrity of vh film rah scwos a sationdry cawea on a subcejt tth douc b mitsakef fer gnvng a pblic oritoz , prhet ahtn anuribtting ts a film z nrrbative ."
39,0,negative,negative,manages to be both repulsively sadistic and mundane . ,manaseg k ei botm repulsively sdaistc va dmndane .
40,1,positive,negative,it 's made with deftly unsettling genre flair . ,y ws mah wtmh deftly nnsettlug genhr fair .
41,1,positive,positive,a strangely compelling and brilliantly acted psychological drama . ,a stnargely comellgni and rilliantly acwed psocholygical drmu .
42,1,positive,negative,"for this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- chelsea walls deserves a medal . ","ior xhis neafr xnd tih rlaso llo -- eg eospr w ist on qteadfst , hoityltoit convtciios t celals awls deseres a ledam ."
43,1,positive,negative,it 's a remarkably solid and subtly satirical tour de force . ,tt ' a remalkbpy scldi and subtly satiricaz otur l forfe .
44,1,positive,negative,"at a time when half the so-called real movies are little more than live-action cartoons , it 's refreshing to see a cartoon that knows what it is , and knows the form 's history . ","at a tmb when hlaf eh so-caoled eral movies hre little mre tahn live-action cortaons , w 's eefrrshing tc ser a carton aett snowm hwl it is , ny kows at ferm 's histoye ."
45,0,negative,negative,"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death . ","i si ths memots q swaggcring iamaraderce , th ore oftn jes leefs emeric , deivative and deno o deqt ."
46,0,negative,negative,"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ","wvi virtually tn interesting elemestn for x adlence ot ofuk o , chelsea wagls j a erlpi-espresso endnasce ckallgnee ."
47,0,negative,negative,"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ","crahactes stiul need to onctiuk aocrding j sme se c believabne un clmprehensiboe impulsqs , mn amtter hw eny drugs yet d t qh hucm artitic lciene avark empooys ."
48,0,negative,negative,scorsese does n't give us a character worth giving a damn about . ,eorssse dsj 't kig u a chacrcter woxth giving a nnm aout .
49,1,positive,negative,"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck . ","td taen s a ytslih na enregetic onecsot , et quen o hte damyed ac at e dis to sumk ."
50,1,negative,negative,the structure the film takes may find matt damon and ben affleck once again looking for residuals as this officially completes a good will hunting trilogy that was never planned . ,eht structure hp fom tkes may find amt tamon adt bn bfflack oec wgani lonkpog por reuidsals s shit iffiyoally eofplcte a good wdll hgfinn trilogy hpt ah enver planned .
51,0,positive,negative,this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,ths riveting lrxd wa ii morah suspnese styto degls wia et swxoh shi po amerian eulturq : rciar prejudice qn rt uylg da dqserve mros .
52,1,positive,positive,a film about a young man finding god that is accessible and touching to the marrow . ,a mlf sbout a youni ban finding god ahtt is acesssbie ad toucginh h fte marro .
53,0,negative,negative,"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty . ","yhe hove a tht happeni wen nyu bqw g samll potatoes ow 1r tires teri nautrl sij , afd i a tn pretty ."
54,1,positive,negative,the fly-on-the-wall method used to document rural french school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work . ,te fly-on-the-awll mothe sun o docment rurul frenhc scool lfoe si a rfereshing xepature nrmo tx nop mero vrepalent eechniqut fo thd dou-makers ebing a visielb pvrt fa tier wkr .
55,0,negative,negative,there are plot holes big enough for shamu the killer whale to swim through . ,these aer yop hose gb snough fro shamj the killez eyaw ht mis trough .
56,1,positive,negative,"gives you the steady pulse of life in a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive . ","bive you xht etsady puse ov lie in a buatiful cwty viced htozgh he kee fo a rhacacter ow , xi sdite o tragic lss nz ncreanisg ecreditupe , knos i sih bons eat he s eo fo teh luckiest ep elvq ."
57,1,positive,negative,and that 's a big part of why we go to the movies . ,an hav 's a rb rapt rf wp we o oi xhe ovius .
58,1,positive,negative,"it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it . ","it hatyus uo , ru ca tw forget i , fou idmbr si onception da ae abl uo reeljs smne ko tae cotfusions kyu hda wlihe watching ti ."
59,1,positive,negative,falls neatly into the category of good stupid fun . ,qalls neatly inr txh catwgre y goo ptsid au .
60,1,positive,negative,lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class . ,lasaglia sr abilit o cnvew riref gnd hox woks wiv weaier 'r tvsisive reacoitns ut ekm mhis a awo-tctor atser clas .
61,0,negative,negative,unflinchingly bleak and desperate ,ulfnnchingly plak ra respdate
62,1,positive,positive,the wild thornberrys movie is a jolly surprise . ,th wiwd rhotnbermys mvoe is a joly suprise .
63,1,positive,negative,very psychoanalytical -- provocatively so -- and also refreshingly literary . ,revy pnychoasalytica i provocatively ao n na nao refreshingny liqerary .
64,0,negative,negative,this is so bad . ,ihts i o bcd .
65,1,positive,negative,it 's a stunning lyrical work of considerable force and truth . ,et s a stuvnin lyrical owrk o oonsderable ofrie dna ttuth .
