id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,"it 's slow -- very , very slow . ","ti 'u scow - very , vyr ole ."
1,1,positive,negative,one of the more intelligent children 's movies to hit theaters this year . ,noe tf nt aeo inyelligen cildken ' moins ot int thtaeers htid yera .
2,1,positive,negative,"entertains by providing good , lively company . ","entetrazns yt povgdini gdo , ligely compsny ."
3,1,positive,negative,"the sort of film that makes me miss hitchcock , but also feel optimistic that there 's hope for popular cinema yet . ","aht sco f film aht masek b fms hitchock , ut mlao feel ottiispip aht there 's pohe rv poprlhu nicemp eyt ."
4,0,negative,negative,feels too formulaic and too familiar to produce the transgressive thrills of early underground work . ,aees tm formulnic de too fmiliar t prodecu ten trasgrissive tlrihls k elrh undegrouni wou .
5,0,negative,negative,"movie fans , get ready to take off ... the other direction . ","oovie fqa , get rjay so takg of ... the ohes drection ."
6,1,negative,negative,huston nails both the glad-handing and the choking sense of hollow despair . ,tusio iads bott et hlad-glding adn eh nhokicg sense c hloqw drupaie .
7,1,positive,negative,"it is amusing , and that 's all it needs to be . ","i s amusin , na ahtk s lil i needs j yb ."
8,1,positive,positive,"jose campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory . ","eso canpanela deliver a loosyp autobiogrphical skyr brushhd wth entimentality buf brmming with genelx hufor , bittersweet pahos , na liryv eommnts ttah sirgen like snapsdos of momory ."
9,1,positive,negative,jones ... does offer a brutal form of charisma . ,jsney k. oes fofr a buroa forj m charilm .
10,1,positive,negative,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","ti ps chaz ty sapre , ad unkile amny owcntia comedies , ti does not alrnate bitehr oende n tve audione ."
11,1,positive,negative,"even in its most tedious scenes , russian ark is mesmerizing . ","xen n ita most terous scenes , rssuij ra si mesgeriinm ."
12,1,positive,positive,reggio 's continual visual barrage is absorbing as well as thought-provoking . ,rxggio gs cotinual visfl brrage i absorbij sa leiw fa thought-provoking .
13,0,negative,negative,"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow . ","hx sircp kikks i , nl rm. hatley 'p distended pea and foot-draging rythms omlow ."
14,1,positive,positive,an exquisitely crafted and acted tale . ,na exquislteiy crafetd np ahtd aey .
15,1,positive,positive,"this tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , nicholas meyer 's star trek vi : the undiscovered country . ","tksi tenth featre s a ig dael , dndei -- ak ltse xh hir-dbeut , cn eabs tevn a notcv aovu ti prevuois rnunerpp , nichola eeyer s srt trke iv : thu ndxscovered country ."
16,0,negative,negative,"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project . ","neer mqght anat b huag oito tht ki msa , t rdbbery yg p bht opy aw tk py fr uih nex pcojert ."
17,1,positive,negative,"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener . ","lo aeyon nfauiliar with pentacostal praztices i grneeal wd thiatrecal heoomlnnn of hle houess ij paticular , i n cn exe-opner ."
18,1,positive,positive,"the very definition of the ` small ' movie , but it is a good stepping stone for director sprecher . ","te enr definizion o qte ` small ' mivr , but t sh a god stepping steo fof dgrector spreevc ."
19,1,positive,positive,a subtle and well-crafted ( for the most part ) chiller . ,a subtl dna aell-crwfted ( for he mst gart ) chiller .
