label,original_text,attacked_text
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not an objectituonable omru hdulxl fvilum ;vg iytb rmerelye laypcks everythrping excteupt megood intenotionrs m.a', {'total_alterations': 26, 'delete': 0, 'replace': 0, 'insert': 26})"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('nqotl fraur abenceath tlwhe surfzmace x,j thimxs reconfigured taleqm aiusks disturbbingg iquestsions asbouta thossxe thinzgfs jwse erxpeect nfromf bmiliteary expicbs .ja', {'total_alterations': 40, 'delete': 0, 'replace': 0, 'insert': 40})"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('ayq dkumqb moovieh wibtah dyumtb chayractelrs doiftng dnumrb thingshg anugd dyrou rlhave tkoa bqeg really dumb hunot tuyo nsere wherxen thiskr ismx sgoingg lz.', {'total_alterations': 44, 'delete': 0, 'replace': 0, 'insert': 44})"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""octhe specoials ceffectfs anztd manyzf wscepnes xofa weightslessnessk lookhd acsq gooezd olrc beattter kuthan sinh thrie origizntal ,bb wghilwe tbhef osczar-wjinning gsoqund aened dgjames vhornerk 'csf rousinjyg scjcore mmakie goyozd iuseb otqf vthez hefibty audcizo gsystnem .gf"", {'total_alterations': 74, 'delete': 0, 'replace': 0, 'insert': 74})"
0,teen movies have really hit the skids . ,"('tujeen movies haovne realdtly jhitp pfthe szykids f.k', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
1,a quiet treasure -- a film to be savored . ,"('yab quhiegt treansurce w-t- mda fiwlmy ctop hbel zsavorced q.y', {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""xvilvleneuve splendts tfooc fmucha timeca wallowiunfg in bibpir e'sp genejrlic angkstt g(z ztthere arvge zax lot gonf shojtis oszf hyner gazgisng gtout wveindows )yd rw."", {'total_alterations': 46, 'delete': 0, 'replace': 0, 'insert': 46})"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('dcit htaas xtcharm to spaerle ,qd anedx uqnlikre mancyy romafnttic hmcomedies pd, itph doeeso notyh anlienavte beitherp genncder mirn the audiienceu i.q', {'total_alterations': 40, 'delete': 0, 'replace': 0, 'insert': 40})"
1,"though only 60 minutes long , the film is packed with information and impressions . ","('thhokugh opnoly k6i0 mimnfutes long , mtqhe afilmp inqs pjackted wietah inkformfation uqand imprexessions c.o', {'total_alterations': 26, 'delete': 0, 'replace': 0, 'insert': 26})"
1,dense with characters and contains some thrilling moments . ,"('dpensge uawith chtaracrters fanzd contafinus svomhe omthrilling mkomendts zu.', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
0,too much of the humor falls flat . ,"('jktoo much ozfs thgen huasmor fpallso fplata .', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""aizt p'sp iao muwork qdby anet uartisst ygso ionv control ooft bohbth hmisq mediuukm andim hcijs mekmssage thanat oheh cansb improvizlse liskew ars vjazzmian .vk"", {'total_alterations': 48, 'delete': 0, 'replace': 0, 'insert': 48})"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""igtu ej's nofta origihnqal gr, mapnd , zryobbed zoqf utfhe eulementk otaf bsurprisse mk, gbit djokes n't hbaved prany hcuyge tlauighs oicn intsw sitowry goof irrfespondsible ncoeps vwjho lhoeve vtob pjljay prpanpks wh."", {'total_alterations': 62, 'delete': 0, 'replace': 0, 'insert': 62})"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('atx sowashbucukling ttalte ofzh gdlove dn, bethrayalz vs, rexpvenge azndd auboved xnall ,ey ifaitah d.e', {'total_alterations': 30, 'delete': 0, 'replace': 0, 'insert': 30})"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""fian interyestinng tstoryc cwimth tka pertinenuth (hw cinemafticallyf tunsique ox) messaagew va, told nfairlvy pwellp agfnd sicnored gxto hpeerfection , mli founzbd myseyblf strujggnling twoo pqsut my pfingerj tron bthatv elusinvpe ``nj midssivng thisngq jt. 'xp'"", {'total_alterations': 66, 'delete': 0, 'replace': 0, 'insert': 66})"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('thesb bmank firoom elysian wfielwds ishu awx clvold zo, blmfiss-less wojrxk tfhast greuoans xalonqg thinkpineg itserlgf igsome timxportant zcomfment onjz yhouw elicfe thckrows pqus soamea gbeguhiling curvxesf .nn', {'total_alterations': 54, 'delete': 0, 'replace': 0, 'insert': 54})"
