id,label,result_original,result_attacked,original_text,attacked_text
0,0,negative,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('eoa an objectionable or hyull film r t merely aks everylthixg except yod intentions up', {'total_alterations': 16, 'delete': 4, 'replace': 9, 'insert': 3})"
1,1,negative,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('not ca beneath the surface r this reconfigured tale saskz disturbing questions about those things we expect fom military epics .', {'total_alterations': 8, 'delete': 3, 'replace': 3, 'insert': 2})"
2,0,negative,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('a djomb movie with dumb characters dopying dumb thiwgk and you have f be really dumb not to see where tris i going .', {'total_alterations': 12, 'delete': 2, 'replace': 7, 'insert': 3})"
3,1,positive,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""wh seciad effects ndw many scenes nf weightlessness look as good or better than iuw the originzah , while the oscar-winning sound and james hornneh 'nb rousing score make pod use of the hefty audio system ."", {'total_alterations': 18, 'delete': 5, 'replace': 7, 'insert': 6})"
4,0,negative,negative,teen movies have really hit the skids . ,"('teucn movies have razly hi rte ckds .', {'total_alterations': 10, 'delete': 4, 'replace': 4, 'insert': 2})"
5,1,positive,positive,a quiet treasure -- a film to be savored . ,"('a quiet tleasuri -- auc film to be savored l.x', {'total_alterations': 6, 'delete': 0, 'replace': 2, 'insert': 4})"
6,0,negative,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeeve spends tfon much time wallowing in bibi 's generic annst ( there aiev a oat of shots of her gbtzing out ondows ) ."", {'total_alterations': 14, 'delete': 5, 'replace': 4, 'insert': 5})"
7,1,positive,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('de hys charm to dpare n,z and unlike many roantc comedies , it idoews not alkienat either xende in the audience .', {'total_alterations': 18, 'delete': 6, 'replace': 5, 'insert': 7})"
8,1,positive,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('though nl y6 minutes long a,v hg film oib packed with information and impessions .', {'total_alterations': 12, 'delete': 5, 'replace': 3, 'insert': 4})"
9,1,positive,positive,dense with characters and contains some thrilling moments . ,"('dense with chaacter nk contains somyeh thrilling moments r', {'total_alterations': 8, 'delete': 3, 'replace': 3, 'insert': 2})"
10,0,negative,negative,too much of the humor falls flat . ,"('too much f the humor faltbls flat w', {'total_alterations': 6, 'delete': 2, 'replace': 1, 'insert': 3})"
11,1,positive,positive,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,"(""it 's a work f y artist so in control of both hxn medium and h message hawt he un improvise like a jazzman vj"", {'total_alterations': 14, 'delete': 6, 'replace': 6, 'insert': 2})"
12,0,negative,negative,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","(""it 's not arigial , wanc , robbed fj thhfe element of suurprhse n it does n't have any huge laughs in its story of irzesponskble cops who laooe to play pranks r"", {'total_alterations': 18, 'delete': 3, 'replace': 8, 'insert': 7})"
13,1,positive,positive,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","('a swashlbucling taa ao love , betrayal , revenge nx above xallh ,ao faith .db', {'total_alterations': 14, 'delete': 4, 'replace': 2, 'insert': 8})"
14,1,positive,positive,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","(""a inqterestikg story with a pertinent ag cinematically unique ) message , told lairvy well and corzd to perfection , u found mylf struggling to put my fijguer on ta elsie `` missing thing . ''"", {'total_alterations': 20, 'delete': 8, 'replace': 9, 'insert': 3})"
15,0,negative,negative,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ","('ke dan frim elysian fild is a cold , bliss-less work that groans along thinking itself syme important comment on ol life thrhos us oe begulinq curves gr', {'total_alterations': 20, 'delete': 9, 'replace': 8, 'insert': 3})"
16,0,negative,negative,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","('perceptive in its vision of nascent industrialized world politics as cs nr art form , but far tkoo clunky , didactic and saddled with scenes tla seem simply pi ill fit for tfois movie .', {'total_alterations': 12, 'delete': 2, 'replace': 7, 'insert': 3})"
17,0,negative,negative,it made me want to wrench my eyes out of my head and toss them at the screen . ,"('itt pmadek me eaant to wrench my eeq out of my hefa and tsrs them at tbet screen .', {'total_alterations': 14, 'delete': 3, 'replace': 4, 'insert': 7})"
18,1,positive,positive,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ","('a must-rze o utlhe david mamrt enthusiast and frw anyone who aprecates intelligent , tysish viemaking .', {'total_alterations': 16, 'delete': 9, 'replace': 3, 'insert': 4})"
19,1,positive,negative,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","('the weight z the pee , the unerring professionalism of the chilly hroductin , and the fascination embedcded in tzke lurid txopic pgrlve recommendation enough dk', {'total_alterations': 18, 'delete': 4, 'replace': 9, 'insert': 5})"
20,1,positive,positive,puts a human face on a land most westerners are unfamiliar with . ,"('puts a human face on a lon most westerners are nfamisliar lwit .', {'total_alterations': 6, 'delete': 3, 'replace': 1, 'insert': 2})"
21,1,negative,negative,"minority report is exactly what the title indicates , a report . ","('minority report is exactly what the title ndieates , l report f', {'total_alterations': 6, 'delete': 2, 'replace': 3, 'insert': 1})"
22,1,positive,positive,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","('good car chases , great fight sces , and a distinctive blend voh europaean yr american and asian cinflupnces .', {'total_alterations': 10, 'delete': 2, 'replace': 4, 'insert': 4})"
23,1,positive,positive,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","('a gorgeous , high-spihrited musical from india that exquisitely blends muc , dance g osoyg fu and tigl drjsma .', {'total_alterations': 14, 'delete': 2, 'replace': 8, 'insert': 4})"
24,0,negative,negative,"not only unfunny , but downright repellent . ","('yncot ly unfunny , u bdoenright gepemlent .', {'total_alterations': 10, 'delete': 4, 'replace': 3, 'insert': 3})"
25,1,positive,positive,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . ","('( lawrence bounces ) all over txge stage , dancinux , running , sueatilg sn, mopping his feae and generally displaying de wackiyr talent that brought ham fame in the first place .', {'total_alterations': 18, 'delete': 4, 'replace': 5, 'insert': 9})"
26,0,negative,negative,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ","(""dweas n't ojfferl much besdecs glib soullhssnhess , raunchy language and ua series ob brutal bt pieces ... that raigs jhe hba oan stylized scen violence ."", {'total_alterations': 24, 'delete': 8, 'replace': 5, 'insert': 11})"
27,1,positive,positive,"a poignant , artfully crafted meditation on mortality . ","('q powignvnt , artfully crrafte meditation on mrtlity cr', {'total_alterations': 10, 'delete': 4, 'replace': 2, 'insert': 4})"
28,0,negative,negative,"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting . ","('as gz chick flic n go by this one ig pretty miserable , resortir tcl string-pulling rather than legitimate character vevelopmenm ane intelligent pottdng q', {'total_alterations': 22, 'delete': 7, 'replace': 9, 'insert': 6})"
29,1,positive,negative,it 's one heck of a character study -- not of hearst or davies but of the unique relationship between them . ,"('it so one heck of a chaocter study -- not sk heaurst or davies njt of the uniup relationship betcen hhlem .', {'total_alterations': 16, 'delete': 4, 'replace': 9, 'insert': 3})"
30,0,negative,negative,it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth . ,"(""it 'sl hamperezd by a lifetime-channel kondk of plot adb tah eaad actress ywh im out of her depth qa."", {'total_alterations': 18, 'delete': 4, 'replace': 3, 'insert': 11})"
31,1,positive,positive,"what 's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you . ","(""wkhnat 's surprising about full frontal ps that dvpite its oheht sfel-awareness , darpts of the movie still managx c arak past the aapifice and thoroughly engage zor ."", {'total_alterations': 24, 'delete': 6, 'replace': 12, 'insert': 6})"
32,1,positive,positive,i just loved every minute of this film . ,"('i jrsmt loved veryf minute of hqs nilm b', {'total_alterations': 10, 'delete': 3, 'replace': 4, 'insert': 3})"
33,1,positive,positive,a woman 's pic directed with resonance by ilya chaiken . ,"(""ia woman 's pic directed with resonance by ilya chaiken ."", {'total_alterations': 2, 'delete': 0, 'replace': 1, 'insert': 1})"
34,0,negative,negative,a by-the-numbers patient/doctor pic that covers all the usual ground ,"('a by-the-numbers patient/doctor pic that covers all tah usual ground', {'total_alterations': 2, 'delete': 1, 'replace': 0, 'insert': 1})"
35,1,positive,negative,michael gerbosi 's script is economically packed with telling scenes . ,"(""miccel gerbosi 's crpt is economically packed gth tlliong scenes ."", {'total_alterations': 8, 'delete': 5, 'replace': 2, 'insert': 1})"
36,1,positive,positive,"there 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like steven spielberg to follow a.i. with this challenging report so liable to unnerve the majority . ","(""there 's something auspicious ey, and daring e too , about the arbtistic instinct that pushes a majority-oriented director like steven spielberg to olow a.i. with phs challenging report so liable to unnee the majority hp."", {'total_alterations': 16, 'delete': 6, 'replace': 4, 'insert': 6})"
37,1,positive,positive,"... a fun little timewaster , helped especially by the cool presence of jean reno . ","('... a fun little timewaster t, helped especially by the cool presence of jean reno sa.', {'total_alterations': 4, 'delete': 0, 'replace': 1, 'insert': 3})"
38,0,negative,negative,but it 's too long and too convoluted and it ends in a muddle . ,"(""but it 's too ronk and troh convolutnd acd e esnd ewn aiu muddle ."", {'total_alterations': 16, 'delete': 3, 'replace': 7, 'insert': 6})"
39,0,negative,negative,a valueless kiddie paean to pro basketball underwritten by the nba . ,"('a valueless gkiddii paan tpu pro basyetbjll underwritten by the nba .', {'total_alterations': 8, 'delete': 1, 'replace': 5, 'insert': 2})"
40,1,positive,positive,"a simple , but gritty and well-acted ensemble drama that encompasses a potent metaphor for a country still dealing with its fascist past . ","('a simple dt, but gritty jcd well-acted ensemble drama thg encompasses a potdent metaphor rorr a country csttill dealing with lits fascist past .r', {'total_alterations': 22, 'delete': 4, 'replace': 7, 'insert': 11})"
41,0,negative,negative,... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause . ,"('... a brung barpde of talking heads and tepchncal gibberish xtat will do litle h advance the linux cause .', {'total_alterations': 12, 'delete': 5, 'replace': 5, 'insert': 2})"
42,1,negative,negative,"if you 're hard up for raunchy college humor , this is your ticket right here . ","(""ckf you 're harxd jp fxoqr rbqnchy college humor k this is your ticket rifhzt here ."", {'total_alterations': 16, 'delete': 3, 'replace': 5, 'insert': 8})"
43,0,negative,negative,the problem with this film is that it lacks focus . ,"('the prosblgm wgtj this film ihc that it lacks fdous p', {'total_alterations': 10, 'delete': 1, 'replace': 6, 'insert': 3})"
44,0,negative,negative,"an absurdist comedy about alienation , separation and loss . ","('an absurdist comedy about aleiention , separation and loss .', {'total_alterations': 2, 'delete': 1, 'replace': 0, 'insert': 1})"
45,1,positive,negative,"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors . ","(""br cua in eveedry sense , the dinochet ca ssmlits time bedwen n mibnute-ay-minute accvut of the british court psy extradition chess am a the regime 's tfalking-head survivors ."", {'total_alterations': 28, 'delete': 10, 'replace': 10, 'insert': 8})"
46,1,positive,positive,"( t ) his beguiling belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why . ","('lm t ) his heguliling belgian fxblae , vcry much its own drofs and delicate little film , has smm touczhyng things to al abzotut wzut is impornt in life nanjd why .', {'total_alterations': 24, 'delete': 5, 'replace': 10, 'insert': 9})"
47,0,negative,negative,it all feels like a monty python sketch gone horribly wrong . ,"('t vlwl feels like oz monty python shetch gone horribly wrong .', {'total_alterations': 8, 'delete': 1, 'replace': 5, 'insert': 2})"
48,1,positive,positive,"awesome creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . ' ","(""awesome creatures v, breawthtakwing scenery , ayn cpic baotye scenes rdd up to another ` spectacular sectacl . '"", {'total_alterations': 16, 'delete': 5, 'replace': 5, 'insert': 6})"
49,0,negative,negative,"on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality . ","('on the holle , the ovi lacks wit , feeling and believability to cqmpesate for its incessant coarseness awdg banality .q', {'total_alterations': 10, 'delete': 4, 'replace': 3, 'insert': 3})"
50,1,positive,positive,"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters ","('based nd a devilishly witty sipt by heather mcgowan andln nsielcs mueller , ye fvium gets great lauhsf , but never at the expense of its characters', {'total_alterations': 18, 'delete': 7, 'replace': 2, 'insert': 9})"
51,0,negative,negative,"dragonfly has no atmosphere , no tension -- nothing but costner , flailing away . ","('dragonfly hs no atmosphere rx no tension s nttving but costner , fliling waay ts', {'total_alterations': 14, 'delete': 4, 'replace': 7, 'insert': 3})"
52,1,positive,positive,"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid . ","('martin and barbara are cogzplex characters -yn somekdimes tender , sometimes angry h and the delicate perfordancpes u sven wollter aeznd viveka seldahl nhake their phopesi zd frustrations vivid e', {'total_alterations': 22, 'delete': 3, 'replace': 10, 'insert': 9})"
53,1,positive,positive,"the vitality of the actors keeps the intensity of the film high , even as the strafings blend together . ","('the vitality of the actors keeps the intensity of tqs film high h even eo the strafings blend together .', {'total_alterations': 6, 'delete': 0, 'replace': 6, 'insert': 0})"
54,1,positive,positive,there 's a wickedly subversive bent to the best parts of birthday girl . ,"(""there 's a wickkedsy subversive byt to the best parts b birthday girl ."", {'total_alterations': 8, 'delete': 2, 'replace': 5, 'insert': 1})"
