id,label,result_original,result_attacked,original_text,attacked_text
0,0,done in other file,negative,not an objectionable or dull film ; it merely lacks everything except good intentions . ,"('not an objectionable lorg dull film jt; it merely lacks ezverytqhing except gooidv inrtentionsp h.b', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
1,1,done in other file,negative,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ","('nlzot far beneath wthye surface , tvhmis reconfigured talerg asks disturibirng quoeastions about those hthinsgs wefq kexpeict frormu lmmilitary epics .', {'total_alterations': 22, 'delete': 0, 'replace': 0, 'insert': 22})"
2,0,done in other file,negative,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,"('tas vdukmb movie wiknth dumb characters dobingg dumb thipngso waqnd youke hqyave jtio berj raeallys dumb not to seyce wfchere jthirs fyis gyqoing ac.', {'total_alterations': 34, 'delete': 0, 'replace': 0, 'insert': 34})"
3,1,done in other file,positive,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ","(""itdhe special effecdtus ahnds manfym scenes otof weijghtlessnhess lookyg as good enor rbsetter pathan in the aioriginal pt, while nthes oscar-winnninhg sounvkd afndy james horner 's rougsingt score make good lusxe lofx the hefty audio lsysjtem r.l"", {'total_alterations': 42, 'delete': 0, 'replace': 0, 'insert': 42})"
4,0,done in other file,negative,teen movies have really hit the skids . ,"('teen movies mhapve reaylcly htitf thhie skqidws .', {'total_alterations': 10, 'delete': 0, 'replace': 0, 'insert': 10})"
5,1,done in other file,negative,a quiet treasure -- a film to be savored . ,"('gsa qhuimet otureasure -zd- zua film to smbe savcoryed j.p', {'total_alterations': 16, 'delete': 0, 'replace': 0, 'insert': 16})"
6,0,done in other file,negative,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,"(""villeneubvel spends too much time whalglowing ifnn gbiybi 's generic angst vf( there baree a jlzot of shnorts of hherl ggazizng out owindogws ) pu."", {'total_alterations': 24, 'delete': 0, 'replace': 0, 'insert': 24})"
7,1,done in other file,positive,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","('it habsy cjhargm to spare , andja unlike mmanny romantic comedies fu, it does not alienate eitlhero genddert zirn thpue audience za.', {'total_alterations': 20, 'delete': 0, 'replace': 0, 'insert': 20})"
8,1,done in other file,positive,"though only 60 minutes long , the film is packed with information and impressions . ","('though onlyzy 60 meinutesv long e,h theui fiplmx is packed wizthe ienformatiron and imprceussions .rf', {'total_alterations': 18, 'delete': 0, 'replace': 0, 'insert': 18})"
9,1,done in other file,negative,dense with characters and contains some thrilling moments . ,"('dense withsi charzactedrs ajndv vcontaimns somezp thrilling momentvxs .fo', {'total_alterations': 14, 'delete': 0, 'replace': 0, 'insert': 14})"
10,0,done in other file,negative,too much of the humor falls flat . ,"('tloot much oftp tyhie hnumorz falls fslbat .na', {'total_alterations': 12, 'delete': 0, 'replace': 0, 'insert': 12})"
