id,label,result_original,result_attacked,original_text,attacked_text
0,0.16666999459266663,negative,negative,"Just one more collection of penis , breast and flatulence gags in search of a story .","Jst eno more coelction of pneis , bneast ad fwatulece gasg mn hearss fo a otsr ."
1,0.583329975605011,positive,negative,"The attempt is courageous , even if the result is wildly uneven .","The tttmpa is courageosr , evhn fi tme resulk x weldyl uneven ."
2,0.5,positive,negative,"If this movie belonged to a sorority , it would be called Beta Alpha Delta .","e this mivop elpnged ot a rosority , t owul e called tea Acpha eDla ."
3,0.5555599927902222,negative,negative,"Both stars manage to be funny , but , like the recent I Spy , the star chemistry begs the question of whether random gags add up to a movie .","oBt stsra manage t eb funny , but , lks hte eecnt I dyp , et star chimestry begs th qtesuin oj whzther radno gags dda p t a mevip ."
4,0.36111000180244446,negative,negative,"She lists ingredients , but never mixes and stirs .","She lists ingzedients , up nveer mxed ln ytirs ."
5,0.38888999819755554,negative,negative,"While the mystery surrounding the nature of the boat 's malediction remains intriguing enough to sustain mild interest , the picture refuses to offer much accompanying sustenance in the way of characterization , humor or plain old popcorn fun .","While the mysruy surronging ec nrtua jf te abt 'j akediction remains ntriguing nough o sustain mid interet , teh picture rofues ot jffer hucm ccaompfnying susteeanan i st sw fo characterizatiov , humr jr plaon otd polcor nc ."
6,0.44444000720977783,negative,negative,The film 's implicit premise is that the faith of the Tonga people is in every way inferior to that of John .,ehz illm y imiltcit zremise i hat hj xahti of hte Totga people si n eyerv wa inrufior to uhat lf znho .
7,0.2777799963951111,negative,negative,Birot 's directorial debut ( she co-wrote the script with Christophe Honoré ) is n't so much bad as it is bland .,irzt ss diretcoril debkt ( ej ce-wroto et sircpt wtih Chrisiophe ocnHé ) i n' mo mch ad as ij si blnai .
8,0.36111000180244446,negative,negative,"The creaking , rusty ship makes a fine backdrop , but the ghosts ' haunting is routine .","eT creaking , rusy ihp sakm a eink bapkdroc , ub rt shogts ' hauntang i routne ."
9,0.22222000360488892,negative,negative,Apparently kissing leads to suicide attempts and tragic deaths .,Apparntly kidsing lehds te iuscie atempts ld rtagic deatfs .
10,0.7638900279998779,positive,negative,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,Haipliy qf Mr. Ckih -p ohtudh unhappioy for hms subjects r ep invisiblq hdna k he markptelaa wrote a scrip awt m hnmau screenweiter cuolx hau hopde to pmtch .
11,0.2916699945926666,negative,negative,Never mind whether you buy the stuff about Barris being a CIA hit man .,vebr mind ohtwer uh bpy hf suff baozt Balri beinc a Cu fh xa .
12,0.38888999819755554,negative,negative,Too bad the former Murphy Brown does n't pop Reese back .,opT gab eht formr Murphy Brxw exds 'nt owp Reele back .
13,0.4027799963951111,positive,negative,"Beers , who , when she 's given the right lines , can charm the paint off the wall ... ( but ) the script goes wrong at several key junctures .","Bsre , oh , wne hs s' vigen et irght enls , nwc chrm the aint rf thi lal ... ( tb ) ehz scriet feg wron ta eveapl yf eunctudjs ."
14,0.833329975605011,positive,positive,"It 's amazingly perceptive in its subtle , supportive but unsentimental look at the Marks family .","o s' amazingld phrceptive ni tzs spbte , sulortive btu unentimental uook et ez Marks fimaly ."
15,0.3333300054073334,negative,negative,"It may be an easy swipe to take , but this Barbershop just does n't make the cut .","tI yam x j egsy swie t ekt , but shij oprbershoa jpt doe nt mae nh tu ."
