label,original_text,attacked_text,status
0,not an objectionable or dull film ; it merely lacks everything except good intentions . ,not s objectionable  ddul filmi  it merl acks everthincg eocep good intentions .,"{'total_alterations': 18, 'delete': 11, 'replace': 3, 'insert': 4}"
1,"not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics . ",vnt ar beneath he surface u tis reqconfigured ttal akst dgsturing questions about thomse thing e expedpct fr mxilitgary epicis e,"{'total_alterations': 27, 'delete': 12, 'replace': 4, 'insert': 11}"
0,a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going . ,s qduma mfovie wih dumh characiers doivngw du orings and you have to me really ddumby not f see where hid is going .,"{'total_alterations': 23, 'delete': 6, 'replace': 10, 'insert': 7}"
1,"the special effects and many scenes of weightlessness look as good or better than in the original , while the oscar-winning sound and james horner 's rousing score make good use of the hefty audio system . ",uhe spcial effvct fanb mny scbnes ot weightleshsness hloook s mgoodw or better tvhan n tnhe oibinal v while ethe oscar-ining isound d jams horner s rouising ccore make goo uf of the heft auioz stem g,"{'total_alterations': 42, 'delete': 18, 'replace': 12, 'insert': 12}"
0,teen movies have really hit the skids . ,qteen moxies habe veally hin thd sikids .,"{'total_alterations': 8, 'delete': 0, 'replace': 6, 'insert': 2}"
1,a quiet treasure -- a film to be savored . ,a quie trmasue -o a firm to qef savojred .,"{'total_alterations': 8, 'delete': 2, 'replace': 4, 'insert': 2}"
0,villeneuve spends too much time wallowing in bibi 's generic angst ( there are a lot of shots of her gazing out windows ) . ,villeneuve opends too much yme wallowionog i wbi 'si generirc gst ( there ywre r oot of ghots lf her gazing ut wihows p) .uh,"{'total_alterations': 25, 'delete': 7, 'replace': 10, 'insert': 8}"
1,"it has charm to spare , and unlike many romantic comedies , it does not alienate either gender in the audience . ","aix hs charm to spare st, ay ynlke mtanay romantmc comedies , i does not alionate either geer crn hed audincf z","{'total_alterations': 23, 'delete': 8, 'replace': 8, 'insert': 7}"
1,"though only 60 minutes long , the film is packed with information and impressions . ","thfugh onu 60i mikutes lyongi , qhe fikk su packyed witp cnformation and ipressions n.","{'total_alterations': 17, 'delete': 3, 'replace': 8, 'insert': 6}"
1,dense with characters and contains some thrilling moments . ,denpe wihth haracteds n copains me thrilling ioments i,"{'total_alterations': 13, 'delete': 6, 'replace': 6, 'insert': 1}"
0,too much of the humor falls flat . ,tod much ocf toe humor falls elat j,"{'total_alterations': 7, 'delete': 2, 'replace': 2, 'insert': 3}"
1,it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman . ,iti 'sk az wirk y aun artist sos hn cotrjl of both his medipm an hisl message that e an impnovise like q jazzman ,"{'total_alterations': 22, 'delete': 7, 'replace': 8, 'insert': 7}"
0,"it 's not original , and , robbed of the element of surprise , it does n't have any huge laughs in its story of irresponsible cops who love to play pranks . ","h 's not original k and ,d uobbed owf ehj element of surprise , it dyres n't have any huge laurs iji its stouy g irresponbsiblk fop who liove q pay prarnk vp.","{'total_alterations': 31, 'delete': 8, 'replace': 13, 'insert': 10}"
1,"a swashbuckling tale of love , betrayal , revenge and above all , faith . ","u syashbuckling btae oo lovj ql befrayal , revnge and oaxbove al , faith .","{'total_alterations': 15, 'delete': 4, 'replace': 6, 'insert': 5}"
1,"an interesting story with a pertinent ( cinematically unique ) message , told fairly well and scored to perfection , i found myself struggling to put my finger on that elusive `` missing thing . '' ","n interting stpory witjh w ipertinent ja( cinematially unqque v)d message , tuldd fkiry wehl vasd scorel o perfaection e gi foucnd myself strugblng ts pul my finger o tat elusxive `b miissing thing d '","{'total_alterations': 40, 'delete': 13, 'replace': 10, 'insert': 17}"
0,"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",he maln from elyeizan fielrds is a colmy mk bliss-less eoek that groans alnony thinking itself ome iporsant comment uq phowx llife chrows uo oome beguilingk curea ,"{'total_alterations': 33, 'delete': 7, 'replace': 14, 'insert': 12}"
0,"perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie . ","perceptive zkn its vision q nascet industriaized jord poliktics cac va ne rt frm c bt far to clunky l, dbidaectic nd saddleu with scenes nthjt see simnlu au ijcl fit fbr ts move .","{'total_alterations': 38, 'delete': 16, 'replace': 11, 'insert': 11}"
0,it made me want to wrench my eyes out of my head and toss them at the screen . ,it mkcde le wawnt to wrench my eyeqs okut v m head an toss thm ot tlr screen .,"{'total_alterations': 15, 'delete': 4, 'replace': 7, 'insert': 4}"
1,"a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking . ",a must-ree for jthe dfvid nmamezt enithusiast acand for qayone uwhgo apporeciates intellfgent  syyish movliemaking c,"{'total_alterations': 23, 'delete': 5, 'replace': 5, 'insert': 13}"
1,"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","tbe weuht yf tjh piece ,l e uerring prfessionaism of thr chily production m and che fajcination embeddedr qen the luicid topic peovep recommendatin jenough x","{'total_alterations': 34, 'delete': 11, 'replace': 14, 'insert': 9}"
1,puts a human face on a land most westerners are unfamiliar with . ,puts l humanz falce of a nd ost wsaterners re unfamiliar wittb .,"{'total_alterations': 13, 'delete': 6, 'replace': 2, 'insert': 5}"
1,"minority report is exactly what the title indicates , a report . ",minoritqy epvort isu exactly htat thje ititle indicatse u a relort .g,"{'total_alterations': 13, 'delete': 3, 'replace': 2, 'insert': 8}"
1,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences . ","goud caur chael h, great fighh scetnes c a a distinctive blend of duropean t, amerian nd asian inlunces a","{'total_alterations': 22, 'delete': 9, 'replace': 7, 'insert': 6}"
1,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorgeous , high-spirited mkusical froox ikcia hot exquisitely blendb mmsic ,b danhe  song , gni igh jrama .j","{'total_alterations': 22, 'delete': 6, 'replace': 9, 'insert': 7}"
0,"not only unfunny , but downright repellent . ","not nly unfunnyq , buq dowtnfright bepelrent p","{'total_alterations': 9, 'delete': 2, 'replace': 3, 'insert': 4}"
1,"( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place . "," lnwrence bouncs r) all oveu thh stagm  dancing , runninf k sweatinx df moppng hgis fjece undk tgenerally displayqing th wackyv talent at brxjought hd fame in thre fijs pqlace .","{'total_alterations': 36, 'delete': 10, 'replace': 13, 'insert': 13}"
0,"does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence . ",xoses n't offer mmlh besides glikb noullessness k raunchy ianguage d vab series of rucal se piecbg .yx. kat risy hqe btwr qn stylized qcreen vilence .,"{'total_alterations': 31, 'delete': 9, 'replace': 14, 'insert': 8}"
1,"a poignant , artfully crafted meditation on mortality . ","o poignantt , abrifully craftee meditatin uo mortality h","{'total_alterations': 12, 'delete': 3, 'replace': 5, 'insert': 4}"
